id	name	description	level	price	capacity	bulk	special	source	source_page
1	Arrows	<p>Arrow shafts are made of carbon fiber&ndash;reinforced plastic and have metal or ceramic heads.</p>	1	50	20	L	null	CRB	190
2	Battery	<p>Batteries charge powered weapons, but they can also be used to power an array of items, including powered armor and technological items. Batteries have a standardized size and weight, and items that take batteries all have a slot into which they fit, regardless of the item&rsquo;s actual size. Weapons that use batteries list the highest-capacity battery they are capable of using as well as how many charges from the battery that each shot consumes.</p>	1	60	20	null	null	CRB	190
3	Darts	<p>These light metal shafts each have a pointed tip and a reservoir to hold toxins or other appropriate substances that are typically liquid or viscous. While most combatants rely on darts to deliver toxins to enemies, particularly desperate or overworked field medics sometimes employ darts to conveniently deliver antitoxins, healing serums, and other beneficial drugs across a crowded battlefield. In these cases, medics often practice to improve their aim to ensure that this strategy is effective when employed.</p>	1	20	25	L	null	CRB	190
4	Flare	<p>Usually made of magnesium, flares burn brightly and can deliver some heat. You can ignite a flare by hand without the need for a flare gun. A lit flare burns for 1 hour, and it can be wielded in melee combat as an improvised weapon that deals 1d2 fire damage.</p>	1	5	1	null	null	CRB	190
5	Flechettes	<p>Flechettes are small, dart-like metal projectiles.</p>	1	75	25	L	null	PWD	194
6	Petrol Tank, Standard	<p>Petrol is a highly flammable blend of hydrocarbons that is used in flame weapons (and petrol is occasionally used by desperate adventurers as fuel or for other various utilitarian purposes). A petrol tank snaps easily into the housing of weapons that are specifically petrol-powered.</p>	1	60	20	1	null	CRB	190
7	Rounds, Longarm And Sniper	<p>Cased rounds are housed in magazines, which can be fitted into the appropriate weapon.</p>	1	75	25	L	null	CRB	190
8	Rounds, Small Arm	<p>Cased rounds are housed in magazines, which can be fitted into the appropriate weapon.</p>	1	40	30	L	null	CRB	190
9	Scattergun Shells	<p>These cartridges are packed with small metal spheres that scatter when the cartridge explodes.</p>	1	55	25	L	null	CRB	190
10	Kishalee Battery	<p>Roughly the same size as standard batteries, kishalee batteries are translucent cylindrical objects bound by a transparent aluminum alloy. By a strange quirk of fate and parallel engineering, kishalee batteries can be interchanged with the standard batteries used among the Pact Worlds and beyond, but these rare batteries allow a creature to use and kishalee artifacts with greater efficiency. If placed in non-kishalee items, a kishalee battery functions like a standard battery. The technology for rapid recharging of a kishalee battery has been lost, but such batteries recharge themselves automatically over the course of 24 hours of disuse.<br />These batteries come in four different varieties: normal, high-capacity, super-capacity, and ultra-capacity. Each variety has a maximum number of charges as the normal batteries of the same type (Starfinder Core Rulebook 179). When these batteries are found, they are almost always fully charged.</p>	2	400	20	null	null	DS05	41
11	Rounds, Heavy	<p>Cased rounds are housed in magazines, which can be fitted into the appropriate weapon.</p>	2	90	20	L	null	CRB	190
12	Petrol Tank, High-Capacity	<p>Petrol is a highly flammable blend of hydrocarbons that is used in flame weapons (and petrol is occasionally used by desperate adventurers as fuel or for other various utilitarian purposes). A petrol tank snaps easily into the housing of weapons that are specifically petrol-powered.</p>	3	280	40	2	null	CRB	190
13	Battery, High-Capacity	<p>Batteries charge powered weapons, but they can also be used to power an array of items, including powered armor and technological items. Batteries have a standardized size and weight, and items that take batteries all have a slot into which they fit, regardless of the item&rsquo;s actual size. Weapons that use batteries list the highest-capacity battery they are capable of using as well as how many charges from the battery that each shot consumes.</p>	4	330	40	null	null	CRB	190
14	Battery, Super-Capacity	<p>Batteries charge powered weapons, but they can also be used to power an array of items, including powered armor and technological items. Batteries have a standardized size and weight, and items that take batteries all have a slot into which they fit, regardless of the item&rsquo;s actual size. Weapons that use batteries list the highest-capacity battery they are capable of using as well as how many charges from the battery that each shot consumes.</p>	4	390	80	null	null	CRB	190
15	Mini-Rockets	<p>These long, tapered shells hold combustible material as well as a chemical propellant.</p>	4	300	10	L	null	CRB	190
16	Battery, Ultra-Capacity	<p>Batteries charge powered weapons, but they can also be used to power an array of items, including powered armor and technological items. Batteries have a standardized size and weight, and items that take batteries all have a slot into which they fit, regardless of the item&rsquo;s actual size. Weapons that use batteries list the highest-capacity battery they are capable of using as well as how many charges from the battery that each shot consumes.</p>	5	445	100	L	null	CRB	190
17	Kishalee Battery, High-Capacity	<p>Roughly the same size as standard batteries, kishalee batteries are translucent cylindrical objects bound by a transparent aluminum alloy. By a strange quirk of fate and parallel engineering, kishalee batteries can be interchanged with the standard batteries used among the Pact Worlds and beyond, but these rare batteries allow a creature to use and kishalee artifacts with greater efficiency. If placed in non-kishalee items, a kishalee battery functions like a standard battery. The technology for rapid recharging of a kishalee battery has been lost, but such batteries recharge themselves automatically over the course of 24 hours of disuse.<br />These batteries come in four different varieties: normal, high-capacity, super-capacity, and ultra-capacity. Each variety has a maximum number of charges as the normal batteries of the same type (Starfinder Core Rulebook 179). When these batteries are found, they are almost always fully charged.</p>	6	3000	40	null	null	DS05	41
18	Kishalee Battery, Super-Capacity	<p>Roughly the same size as standard batteries, kishalee batteries are translucent cylindrical objects bound by a transparent aluminum alloy. By a strange quirk of fate and parallel engineering, kishalee batteries can be interchanged with the standard batteries used among the Pact Worlds and beyond, but these rare batteries allow a creature to use and kishalee artifacts with greater efficiency. If placed in non-kishalee items, a kishalee battery functions like a standard battery. The technology for rapid recharging of a kishalee battery has been lost, but such batteries recharge themselves automatically over the course of 24 hours of disuse.<br />These batteries come in four different varieties: normal, high-capacity, super-capacity, and ultra-capacity. Each variety has a maximum number of charges as the normal batteries of the same type (Starfinder Core Rulebook 179). When these batteries are found, they are almost always fully charged.</p>	7	5000	80	null	null	DS05	41
19	Kishalee Battery, Ultra-Capacity	<p>Roughly the same size as standard batteries, kishalee batteries are translucent cylindrical objects bound by a transparent aluminum alloy. By a strange quirk of fate and parallel engineering, kishalee batteries can be interchanged with the standard batteries used among the Pact Worlds and beyond, but these rare batteries allow a creature to use and kishalee artifacts with greater efficiency. If placed in non-kishalee items, a kishalee battery functions like a standard battery. The technology for rapid recharging of a kishalee battery has been lost, but such batteries recharge themselves automatically over the course of 24 hours of disuse.<br />These batteries come in four different varieties: normal, high-capacity, super-capacity, and ultra-capacity. Each variety has a maximum number of charges as the normal batteries of the same type (Starfinder Core Rulebook 179). When these batteries are found, they are almost always fully charged.</p>	8	8400	100	null	null	DS05	41
20	Nanite Canisters	<p>Nanite canisters contain microscopic mechanical devices programmed to perform specific tasks. In weapons, they are typically tasked to dismantle as much of the target as they can before they are deactivated, but nanotechnology also has a wide range of peaceful uses.</p>	9	2150	10	L	null	ARM	55
21	Explosive Arrow	<p>Explosive ammo is used with projectile weapons and is available for most projectile weapons and other weapons that fire arrows and darts, as noted on Table 1&ndash;8. A weapon firing explosive ammo deals its normal amount of damage, but half of this damage is fire damage and grants the weapon the knockdown critical hit effect. If the weapon already has a critical hit effect, the knockdown critical hit effect is added and considered part of the weapon&rsquo;s normal critical hit effect. If the weapon normally already has the knockdown critical hit effect, it instead gains the push (5 feet) critical hit effect in addition to knockdown, and this considered part of the weapon&rsquo;s normal critical hit effect.</p>	2	75	20	L	Fiery	ARM	55
22	Explosive Darts	<p>Explosive ammo is used with projectile weapons and is available for most projectile weapons and other weapons that fire arrows and darts, as noted on Table 1&ndash;8. A weapon firing explosive ammo deals its normal amount of damage, but half of this damage is fire damage and grants the weapon the knockdown critical hit effect. If the weapon already has a critical hit effect, the knockdown critical hit effect is added and considered part of the weapon&rsquo;s normal critical hit effect. If the weapon normally already has the knockdown critical hit effect, it instead gains the push (5 feet) critical hit effect in addition to knockdown, and this considered part of the weapon&rsquo;s normal critical hit effect.</p>	2	50	25	L	Fiery	ARM	55
23	Explosive Rounds, Longarm And Sniper	<p>Explosive ammo is used with projectile weapons and is available for most projectile weapons and other weapons that fire arrows and darts, as noted on Table 1&ndash;8. A weapon firing explosive ammo deals its normal amount of damage, but half of this damage is fire damage and grants the weapon the knockdown critical hit effect. If the weapon already has a critical hit effect, the knockdown critical hit effect is added and considered part of the weapon&rsquo;s normal critical hit effect. If the weapon normally already has the knockdown critical hit effect, it instead gains the push (5 feet) critical hit effect in addition to knockdown, and this considered part of the weapon&rsquo;s normal critical hit effect.</p>	2	150	25	L	Fiery	ARM	55
24	Explosive Rounds, Small Arm	<p>Explosive ammo is used with projectile weapons and is available for most projectile weapons and other weapons that fire arrows and darts, as noted on Table 1&ndash;8. A weapon firing explosive ammo deals its normal amount of damage, but half of this damage is fire damage and grants the weapon the knockdown critical hit effect. If the weapon already has a critical hit effect, the knockdown critical hit effect is added and considered part of the weapon&rsquo;s normal critical hit effect. If the weapon normally already has the knockdown critical hit effect, it instead gains the push (5 feet) critical hit effect in addition to knockdown, and this considered part of the weapon&rsquo;s normal critical hit effect.</p>	2	60	30	L	Fiery	ARM	55
25	Explosive Scattergun Shells	<p>Explosive ammo is used with projectile weapons and is available for most projectile weapons and other weapons that fire arrows and darts, as noted on Table 1&ndash;8. A weapon firing explosive ammo deals its normal amount of damage, but half of this damage is fire damage and grants the weapon the knockdown critical hit effect. If the weapon already has a critical hit effect, the knockdown critical hit effect is added and considered part of the weapon&rsquo;s normal critical hit effect. If the weapon normally already has the knockdown critical hit effect, it instead gains the push (5 feet) critical hit effect in addition to knockdown, and this considered part of the weapon&rsquo;s normal critical hit effect.</p>	2	110	25	L	Fiery	ARM	55
