id	name	description	armor_type	level	price	eac_bonus	kac_bonus	max_dex_bonus	ac_penalty	speed_penalty	upgrade_slots	bulk	source	source_page
1	Estex Suit I	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	1	410	0	1	5	1	0	2	1	CRB	199
2	Second Skin	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	1	250	1	2	5	0	0	1	L	CRB	202
3	Shobhad Harness, Recruit	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	1	150	0	2	4	1	0	0	1	ARM	71
4	Stationwear, Flight Suit	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	1	95	0	1	6	0	0	0	L	CRB	202
5	Freebooter Armor I	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	2	750	2	3	4	0	0	0	L	CRB	199
6	Kasatha Microcord I	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	2	460	1	3	3	1	0	0	1	CRB	202
7	Preserver Mantle I	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	2	520	1	2	6	0	0	0	L	ARM	70
8	Vesk Brigandine I	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	2	950	2	2	5	0	0	1	L	ARM	71
9	Zeizerer Diffractor I	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	2	650	2	2	4	0	0	0	L	PWD	196
10	Carbon Skin, Graphite	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	3	1220	3	4	4	1	0	1	1	CRB	199
11	Clearweave I	<p>The formfitting fabric of clearweave light armor is completely transparent to better display the fashion choices beneath it. Discrete force field generators along each side resemble intricate tattoos as much as they resemble circuitry. Clearweave darkens automatically when exposed to harmful solar radiation or laser fire.<br/> Clearweave II contains built-in microprojectors that allow the wearer to display glowing patterns, simple art, and even icons and logos through the armor’s fabric. These displays can be controlled via a personal comm unit or a more advanced computer. The glow emitted by the suit when displaying such patterns isn’t bright enough to provide useful illumination, but it does reveal the wearer’s position in darkness or dim light.</p>	light	3	1350	3	3	5	0	0	0	L	ARM	68
12	Hardened Resin	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	3	1200	2	3	5	1	0	1	1	PWD	196
13	Regimental Dress I	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	3	1450	2	3	5	0	0	1	L	ARM	71
14	Skitterhide I	<p>This armor is made from the harvested hides of the remains of destroyed undead, making it resemble a macabre skinsuit. Ossified studs and embellishments reinforce the alchemically treated skin, which is otherwise designed to support Corpse Fleet agents favoring speed and stealth.</p>	light	3	1200	2	3	5	0	0	0	L	DS03	48
15	Stationwear, Casual	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	3	1300	1	2	6	0	0	0	L	CRB	202
16	Acrochor Hide, Basic	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	4	2100	5	5	5	0	0	0	L	DS04	44
17	Defrex Hide	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	4	2250	5	5	4	0	0	1	L	CRB	199
18	Grave Mantle, Enlisted	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	4	2100	4	5	4	0	0	0	L	ARM	68
19	Lashunta Tempweave, Basic	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	4	1950	4	4	5	0	0	1	L	CRB	202
20	Shobhad Harness, Veteran	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	4	1850	3	5	5	1	0	1	1	ARM	71
21	D-Suit I	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	5	2980	5	6	5	0	0	1	L	CRB	199
22	Estex Suit II	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	5	2700	4	5	5	1	0	3	1	CRB	199
23	Stationwear, Business	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	5	2600	2	3	6	0	0	0	L	CRB	202
24	Vesk Brigandine II	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	5	2650	5	5	5	0	0	2	L	ARM	71
25	Dust Manta Hide, Basic	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	6	5150	5	7	5	0	0	0	L	AA2	47
26	Freebooter Armor II	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	6	4720	6	8	5	0	0	1	L	CRB	199
27	Kasatha Microcord II	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	6	3670	6	8	4	1	0	1	1	CRB	202
28	Lashunta Mind Mail I	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	6	4250	6	6	6	0	0	2	L	ARM	70
29	Polyplate, Basic	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	6	4200	5	7	4	0	0	2	L	DF03	44
30	Stationwear, Elite	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	6	4100	4	5	7	0	0	0	L	CRB	202
31	Ysoki Refractor Suit	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	6	4120	7	7	5	0	0	2	L	CRB	203
32	Zeizerer Diffractor II	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	6	4150	6	6	6	0	0	1	L	PWD	196
33	Abadarcorp Travel Suit, Silver	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	7	7250	6	7	7	0	0	0	L	CRB	199
34	Azlanti Royal Battle Regalia	<p>Extremely rare, suits of Azlanti royal battle regalia are reserved for the upper echelons of Azlanti nobility and are usually marked with insignia of the wearer’s lineage. When caught, any non- Azlanti audacious enough to don one of these ceremonial suits is tortured for years before being put to death. Each suit has a special contingency mechanism that activates once per day when its wearer is reduced to 15 or fewer Hit Points, whisking him away to a spot he visualizes as if he were targeted with a dimension door spell.</p>	light	7	8000	7	8	5	0	0	3	1	AT03	36
35	D-Suit II	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	7	6900	8	9	5	0	0	2	L	CRB	199
36	Estex Suit III	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	7	5500	7	8	5	1	0	4	1	CRB	199
37	Preserver Mantle II	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	7	6400	6	9	6	0	0	1	L	ARM	70
38	Specops Armor, Ag	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	7	7500	7	8	5	1	0	3	1	AA1	7
39	Acrochor Hide, Advanced	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	8	8250	10	10	6	0	0	0	L	DS04	44
40	Defrex Hide, Mature	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	8	9000	9	11	4	0	0	2	L	AA3	13
41	Kasatha Microcord III	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	8	9000	9	11	5	1	0	2	1	CRB	202
42	Lashunta Tempweave, Advanced	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	8	8500	9	10	6	0	0	3	L	CRB	202
43	Shobhad Harness, Warleader	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	8	8600	9	11	5	1	0	2	1	ARM	71
44	Vesk Brigandine III	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	8	8800	10	10	5	0	0	2	L	ARM	71
45	Abadarcorp Travel Suit, Gold	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	9	12100	9	10	8	0	0	0	L	CRB	199
46	Clearweave II	<p>The formfitting fabric of clearweave light armor is completely transparent to better display the fashion choices beneath it. Discrete force field generators along each side resemble intricate tattoos as much as they resemble circuitry. Clearweave darkens automatically when exposed to harmful solar radiation or laser fire.<br/> Clearweave II contains built-in microprojectors that allow the wearer to display glowing patterns, simple art, and even icons and logos through the armor’s fabric. These displays can be controlled via a personal comm unit or a more advanced computer. The glow emitted by the suit when displaying such patterns isn’t bright enough to provide useful illumination, but it does reveal the wearer’s position in darkness or dim light.</p>	light	9	13150	12	12	5	0	0	2	L	ARM	68
47	D-Suit III	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	9	13300	11	12	6	0	0	3	L	CRB	199
48	Shiftskin I	<p>Developed by the reptoids for their agents, shiftskin comes in a variety of designs styled to resemble normal clothing, uniforms, and even other light armors. Each suit of shiftskin is designed to accommodate both its owner’s natural form and one other specific assumed form of another race, shifting and reshaping as needed when the reptoid changes shape. Thus a suit of shiftskin can be adjusted to accommodate two different forms (Core Rulebook 196), rather than fitting only one form at a time.<br/> Shiftskin has been adapted for use by other races. Even when used by non-reptoids, an individual suit can still can be adapted to shift between two different forms, so long as those forms are no more than one size category apart. Though obviously of use for non-reptoid shapeshifters, this also allows the same suit to fit two different wearers.</p>	light	9	13850	10	11	7	1	0	2	1	ARM	71
49	Skitterhide II	<p>This armor is made from the harvested hides of the remains of destroyed undead, making it resemble a macabre skinsuit. Ossified studs and embellishments reinforce the alchemically treated skin, which is otherwise designed to support Corpse Fleet agents favoring speed and stealth.</p>	light	9	12500	10	11	7	0	0	2	L	DS03	48
50	Zeizerer Diffractor III	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	9	12500	11	11	7	0	0	2	L	PWD	196
51	Carbon Skin, White Carbon	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	10	19650	12	14	5	1	0	3	1	CRB	199
52	Freebooter Armor III	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	10	16900	12	13	6	0	0	3	L	CRB	199
53	Grave Mantle, Specialist	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	10	17950	13	15	4	0	0	2	L	ARM	68
54	Polyplate, Advanced	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	10	17400	11	13	5	0	0	3	L	DF03	44
55	Regimental Dress II	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	10	18600	13	13	5	0	0	2	L	ARM	71
56	Void Hide I (Hybrid, Worn)	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	10	20000	13	15	4	1	0	1	1	AA3	121
57	Kasatha Microcord IV	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	11	23800	13	15	5	1	0	3	1	CRB	202
58	Lashunta Mind Mail II	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	11	24800	13	14	6	0	0	2	L	ARM	70
59	Vesk Brigandine IV	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	11	23500	14	14	5	0	0	3	L	ARM	71
60	Abadarcorp Travel Suit, Platinum	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	12	34600	12	13	8	0	0	0	L	CRB	199
61	Acrochor Hide, Elite	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	12	28000	15	15	7	0	0	0	L	DS04	44
62	Defrex Hide, Advanced	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	12	33000	14	16	5	0	0	3	L	AA3	13
63	Dust Manta Hide, Advanced	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	12	43250	15	16	6	0	0	0	L	AA2	47
64	Hardlight Series, Squad	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	12	30750	15	15	6	0	0	4	L	CRB	199
65	Preserver Mantle III	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	12	35400	12	15	7	0	0	3	L	ARM	70
66	D-Suit IV	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	13	45800	16	17	6	0	0	4	L	CRB	199
67	Estex Suit IV	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	13	49250	15	16	6	1	0	6	1	CRB	199
68	Shobhad Harness, Chieftain	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	13	46900	15	17	5	1	0	3	1	ARM	71
69	Zeizerer Diffractor IV	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	13	48500	15	15	8	0	0	3	L	PWD	196
70	Echelon Fashion, Ready To Wear	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	14	71300	15	16	8	0	0	0	L	CRB	199
71	Freebooter Armor IV	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	14	60600	17	18	6	0	0	4	L	CRB	199
72	Polyplate, Elite	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	14	65000	15	17	6	0	0	4	L	DF03	44
73	Shiftskin II	<p>Developed by the reptoids for their agents, shiftskin comes in a variety of designs styled to resemble normal clothing, uniforms, and even other light armors. Each suit of shiftskin is designed to accommodate both its owner’s natural form and one other specific assumed form of another race, shifting and reshaping as needed when the reptoid changes shape. Thus a suit of shiftskin can be adjusted to accommodate two different forms (Core Rulebook 196), rather than fitting only one form at a time.<br/> Shiftskin has been adapted for use by other races. Even when used by non-reptoids, an individual suit can still can be adapted to shift between two different forms, so long as those forms are no more than one size category apart. Though obviously of use for non-reptoid shapeshifters, this also allows the same suit to fit two different wearers.</p>	light	14	76830	16	17	7	1	0	3	1	ARM	71
74	Void Hide II (Hybrid, Worn)	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	14	90000	16	18	5	1	0	2	1	AA3	121
75	Carbon Skin, Diamond	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	15	126400	17	19	7	1	0	4	1	CRB	199
76	Hardlight Series, Elite	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	15	123500	18	18	7	0	0	4	L	CRB	199
77	Swarmsuit	<p>Inspired by Swarm technology and designed specifically for shirrens, a swarmsuit is a collection of ablative plates backed with reinforced padding and linked with mesh straps. The light armor’s unique arrangement makes it perfect for creatures with unusual physiologies. The wearer arranges the straps in a comfortable formation and slides the ablative plates to cover vulnerable areas.</p>	light	15	95200	18	19	6	0	0	4	L	CRB	202
78	Vesk Brigandine V	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	15	99900	19	20	5	0	0	4	L	ARM	71
79	Defrex Hide, Elite	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	16	142000	19	21	6	0	0	4	L	AA3	13
