id	name	type	description	level	price	system	source	source_page
1	Adaptive Biochains	Biotech	<p>You can duplicate the effects of cybernetics with biotech by using adaptive biochains—microscopic cells that can reform themselves into replacements for technology within the body of a living host. This replicates the effects of any cybernetic augmentation, but it costs an additional 10% due to the price of the biochains. Adaptive biochains can also be used to replace any existing cybernetic with a biotech version of the same device; doing so has the same price and time as introducing a new adaptive biochain.</p>	3	Varies	Varies	CRB	211
2	Adaptive Fingerprints	Cybernetics	<p>Originally created for military operatives but favored by criminals throughout the galaxy, these pads of nanotechinfused artificial flesh replace the skin of your palms and fingertips. You leave no identifying fingerprints behind when touching an object or surface, and you can’t be identified through your fingerprints. In addition, if you have access to records of another individual’s fingerprints, you can spend 1 Resolve Point to create wrinkled patterns in the pads that mimic those fingerprints for 1 hour, allowing you to bypass security features or leave false evidence.</p>	6	4030	All Hands	SS2	44
3	Adrenal Booster	Cybernetics	<p>This pair of nanocarbon devices replaces part of your adrenal glands, and microscopic threads delicately link them to your endocrine system. When you are dying, the number of Resolve Points you need to stabilize is reduced by 1 (to a minimum of 1 Resolve Point needed to stabilize). This ability doesn’t stack with any other ability that allows you to spend fewer Resolve Points to stabilize. In addition, once per day, you can spend the required Resolve Points to stabilize and 1 additional Resolve Point to stay in the fight (regaining 1 Hit Point) in the same round.</p>	8	8900	Endocrine	SS2	44
4	Aeon eye	Magitech	<p>An aeon eye replaces one of your eyes with a specialized aeon stone connected to your ocular nerves. As a move action, you can mentally activate or deactivate this augmentation, which grants you sense through (vision) with a range of 60 feet. While the augmentation is active, you gain no benefit from other special visual senses, and you can’t see anything beyond the augmentation’s range.</p>	13	46000	Eye	AT02	44
5	Aeon gage	Magitech	<p>An aeon gage not only functions as a polyhand (Core Rulebook 210), but it also has six sockets in which aeon stones can be slotted. You gain the benefit of each aeon stone slotted in your aeon gage as if the stone orbited you. If all six sockets contain aeon stones, you can also cast one or more of the spells listed below as spell-like abilities. Total the item levels of the aeon stones slotted into the aeon gage to determine the spells you have access to. While you have access to a spell, you also have access to any spell from a lower level range, as follows: 6–30, caustic conversion; 31-60, arcing surge; 61–90, corrosive haze; 91–120, heat leech. The aeon gage has a number of charges per day equal to twice the highest level of spell it provides as a spell-like ability. Using a spell-like ability from the gage consumes a number of charges equal to that spell’s level. The caster level for these spells is 16th.</p>	16	200000	Hand	AT02	44
6	Antimagic skin, mk 1	Magitech	<p><table> <tr><th>MODEL</th><th>SPELL RESISTANCE</th></tr> <tr><td>Mk 1</td><td>20</td></tr> <tr><td>Mk 2</td><td>22</td></tr> <tr><td>Mk 3</td><td>24</td></tr> <tr><td>Mk 4</td><td>26</td></tr> <tr><td>Mk 5</td><td>28</td></tr> <tr><td>Mk 6</td><td>30</td></tr> </table> Your skin is infused with alchemical components extracted from fey, hags, and other highly magic-resistant creatures. As a move action, you can gain spell resistance according to your model of antimagic skin for 1 minute. You can also gain this spell resistance as a reaction, but you then can’t take a move action on your next turn. Once you use your antimagic skin, you can’t use it again until you’ve rested for 10 minutes to regain Stamina Points, though you can spend 1 Resolve Point at any time to recharge it immediately.</p>	15	109400	Skin	ARM	90
7	Antimagic skin, mk 2	Magitech	<p><table> <tr><th>MODEL</th><th>SPELL RESISTANCE</th></tr> <tr><td>Mk 1</td><td>20</td></tr> <tr><td>Mk 2</td><td>22</td></tr> <tr><td>Mk 3</td><td>24</td></tr> <tr><td>Mk 4</td><td>26</td></tr> <tr><td>Mk 5</td><td>28</td></tr> <tr><td>Mk 6</td><td>30</td></tr> </table> Your skin is infused with alchemical components extracted from fey, hags, and other highly magic-resistant creatures. As a move action, you can gain spell resistance according to your model of antimagic skin for 1 minute. You can also gain this spell resistance as a reaction, but you then can’t take a move action on your next turn. Once you use your antimagic skin, you can’t use it again until you’ve rested for 10 minutes to regain Stamina Points, though you can spend 1 Resolve Point at any time to recharge it immediately.</p>	16	170800	Skin	ARM	90
8	Antimagic skin, mk 3	Magitech	<p><table> <tr><th>MODEL</th><th>SPELL RESISTANCE</th></tr> <tr><td>Mk 1</td><td>20</td></tr> <tr><td>Mk 2</td><td>22</td></tr> <tr><td>Mk 3</td><td>24</td></tr> <tr><td>Mk 4</td><td>26</td></tr> <tr><td>Mk 5</td><td>28</td></tr> <tr><td>Mk 6</td><td>30</td></tr> </table> Your skin is infused with alchemical components extracted from fey, hags, and other highly magic-resistant creatures. As a move action, you can gain spell resistance according to your model of antimagic skin for 1 minute. You can also gain this spell resistance as a reaction, but you then can’t take a move action on your next turn. Once you use your antimagic skin, you can’t use it again until you’ve rested for 10 minutes to regain Stamina Points, though you can spend 1 Resolve Point at any time to recharge it immediately.</p>	17	263000	Skin	ARM	90
9	Antimagic skin, mk 4	Magitech	<p><table> <tr><th>MODEL</th><th>SPELL RESISTANCE</th></tr> <tr><td>Mk 1</td><td>20</td></tr> <tr><td>Mk 2</td><td>22</td></tr> <tr><td>Mk 3</td><td>24</td></tr> <tr><td>Mk 4</td><td>26</td></tr> <tr><td>Mk 5</td><td>28</td></tr> <tr><td>Mk 6</td><td>30</td></tr> </table> Your skin is infused with alchemical components extracted from fey, hags, and other highly magic-resistant creatures. As a move action, you can gain spell resistance according to your model of antimagic skin for 1 minute. You can also gain this spell resistance as a reaction, but you then can’t take a move action on your next turn. Once you use your antimagic skin, you can’t use it again until you’ve rested for 10 minutes to regain Stamina Points, though you can spend 1 Resolve Point at any time to recharge it immediately.</p>	18	388000	Skin	ARM	90
10	Antimagic skin, mk 5	Magitech	<p><table> <tr><th>MODEL</th><th>SPELL RESISTANCE</th></tr> <tr><td>Mk 1</td><td>20</td></tr> <tr><td>Mk 2</td><td>22</td></tr> <tr><td>Mk 3</td><td>24</td></tr> <tr><td>Mk 4</td><td>26</td></tr> <tr><td>Mk 5</td><td>28</td></tr> <tr><td>Mk 6</td><td>30</td></tr> </table> Your skin is infused with alchemical components extracted from fey, hags, and other highly magic-resistant creatures. As a move action, you can gain spell resistance according to your model of antimagic skin for 1 minute. You can also gain this spell resistance as a reaction, but you then can’t take a move action on your next turn. Once you use your antimagic skin, you can’t use it again until you’ve rested for 10 minutes to regain Stamina Points, though you can spend 1 Resolve Point at any time to recharge it immediately.</p>	19	587000	Skin	ARM	90
