id	classes_id	name	level	description	alternate	source	source_page
1	1	Envoy Improvisation	1	<p>As you gain experience, you learn envoy improvisations&mdash;little tricks that bolster allies, confound enemies, or change the ebb and flow of battle using guile, inspiration, or luck. You learn your first envoy improvisation at 1st level, and you learn an additional improvisation at 2nd level and every 2 levels thereafter. The list of envoy improvisations appear here.<br />If an improvisation allows you to grant an effect to an ally, you cannot grant yourself that effect unless the improvisation states otherwise. If an envoy improvisation allows a saving throw to resist its effects or requires an enemy to attempt a skill check, the DC is equal to 10 + half your envoy level + your Charisma modifier.<br />Some envoy improvisations are language-dependent, mindaffecting, sense-dependent, or some combination of any or all of these. These terms are defined on page 270.</p>	0	CRB	60
2	1	Expertise	1	<p>You are an expert at dealing with challenges that test your skills, be the challenges social or otherwise. At 1st level, when attempting a Sense Motive check, you can roll 1d6 (your expertise die) and add the result of the roll to your check as an insight bonus. You can use this and other expertise abilities as long as you have at least 1 Resolve Point remaining. At 5th level, anytime you roll your expertise die, you gain a +1 bonus to the result. At 9th, 17th, and 20th levels, this bonus increases by 1. At 13th level, you roll 1d8 as your expertise die instead of 1d6.<br />Beginning at 9th level, you have even greater expertise with skills to which you can add your expertise die that you have also selected with the Skill Focus feat. For each such skill, once per day when rolling your expertise die to add to that skill, you may roll the expertise die twice and take the better of the two results.</p>	0	CRB	60
3	1	Skill Expertise	1	<p>At 1st level and every 4 levels thereafter, you can use expertise with one additional class skill. You must have at least 1 rank in a skill to select it, and it must come from the following list: Bluff (Cha), Computers (Int), Culture (Int), Diplomacy (Cha), Disguise (Cha), Engineering (Int), Intimidate (Cha), and Medicine (Int).</p>	0	CRB	60
4	1	Expertise Talent	3	<p>At 3rd level and every 4 levels thereafter, you choose an expertise talent, which gives you an extra option when using a skill with which you have expertise. The list of expertise talents appear here.</p>	0	CRB	60
5	1	Weapon Specialization (EX)	3	<p>You gain Weapon Specialization as a bonus feat for each weapon type this class grants you proficiency with.</p>	0	CRB	60
6	1	True Expertise	20	<p>You gain total mastery over one of your envoy improvisations and can use it with but a thought. When you gain this ability, choose one improvisation you know that has an effect when you spend 1 Resolve Point.<br />As long as you have at least 1 Resolve Point remaining, you can gain the improvisation&rsquo;s effect without spending the Resolve Point. This ability has no benefit if the improvisation requires more than 1 Resolve Point.<br />In addition, when you roll your expertise die, you can add 2d8 rather than 1d8+4 to the result of your skill check. If, for some reason, your bonus gained from expertise isn&rsquo;t 1d8+4, you can&rsquo;t use this option.</p>	0	CRB	60
7	2	Artificial Intelligence	1	<p>You construct an artificial intelligence (or AI), a sophisticated program of self-motivated code that you can access for help in a variety of endeavors. This AI is the product of your own genius, far more advanced and complicated than any available for sale to consumers (though it falls short of being truly self-aware), and only you know the secrets of its creation and operation. Your AI can take one of two forms: a drone or an exocortex. You must pick one of these forms upon taking your first level of mechanic, and once this choice is made, it cannot be changed.</p><h4>DRONE</h4><p>You begin play with a powerful robotic drone to house your AI. You build and control this drone, which accompanies you on your adventures and is capable of combat, espionage, and other specialized tasks. As you gain levels, your drone advances in sophistication and gain additional abilities. While the value of your drone is immense, only you, with your extensive knowledge of its quirks and security measures, can ever hope to operate or repair it.&nbsp;Drones are detailed in Drones beginning on page 74.</p><h4>EXOCORTEX</h4><p>You begin play with an exocortex, an artificial processor that interacts with and augments your biological brain&rsquo;s cognitive functions, which can aid you in a variety of tasks, from combat to digital infiltration. Your exocortex is implanted within your physical body or brain, similar to a piece of cybernetic hardware, allowing your AI to access your mind and feed you information. As you gain levels, your exocortex advances in sophistication and processing power&mdash;see Exocortex on page 79.&nbsp;Only you can access or interact with your exocortex.</p>	0	CRB	68
8	2	Drone	1	<p>You begin play with a powerful robotic drone to house your AI. You build and control this drone, which accompanies you on your adventures and is capable of combat, espionage, and other specialized tasks. As you gain levels, your drone advances in sophistication and gain additional abilities. While the value of your drone is immense, only you, with your extensive knowledge of its quirks and security measures, can ever hope to operate or repair it. Drones are detailed in Drones beginning on page 74.</p>	0	CRB	68
9	2	Exocortex	1	<p>You begin play with an exocortex, an artificial processor that interacts with and augments your biological brain&rsquo;s cognitive functions, which can aid you in a variety of tasks, from combat to digital infiltration. Your exocortex is implanted within your physical body or brain, similar to a piece of cybernetic hardware, allowing your AI to access your mind and feed you information. As you gain levels, your exocortex advances in sophistication and processing power&mdash;see Exocortex on page 79. Only you can access or interact with your exocortex.</p>	0	CRB	68
10	2	Bypass (EX)	1	<p>You are skilled at getting inside computer systems and electronic devices. At 1st level, you gain a +1 insight bonus to Computers and Engineering skill checks. At 5th level, every 4 levels thereafter, and at 20th level, this bonus increases by 1.</p>	0	CRB	68
11	2	Custom Rig (EX)	1	<p>You have created a customized toolkit you can use to hack systems and items. Your custom rig can be configured to take up an upgrade slot on your armor or can be installed as a cybernetic augmentation system in your brain (though it can be combined with a datajack for the same price as installing a datajack normally), your eyes, or an arm. For more information on augmentations, see Chapter 7: Equipment. Alternatively, you can configure it to be a handheld device, meaning that you must retrieve it and hold it to use it effectively. While using this rig, you always count as having the appropriate tool or basic kit for any Computers or Engineering skill check you attempt. Some mechanic tricks (see page 71) and drone mods (see page 77) require the use of a custom rig. In addition, you can use your custom rig as a Mk I comm unit (see Chapter 7: Equipment). Finally, if you have a drone, you can use your custom rig to communicate over an encrypted channel with your drone to issue commands to its AI or directly control it at a range of 2,500 feet. If your custom rig is damaged, destroyed, lost, or stolen, you can kitbash a new one from any engineering kit, hacking kit, or other technological toolkit, reconfiguring the materials into a new custom rig with 1 hour of work. You can have only one custom rig at a time. If you create a new custom rig, your old one functions as a normal toolkit of whatever type you made it from and can no longer be used with your mechanic tricks.</p>	0	CRB	68
12	2	Mechanic Tricks	2	<p>As you gain experience, you learn tricks that allow you to perform wonders of engineering, aid in electronic infiltrations, and optimize gear. While some of these are things you learn, others are small cybernetic enhancements you make to yourself (none of which have a price or count against your augmentation limits). Some tricks require the use of a custom rig or other gear.<br />You learn your first mechanic trick at 2nd level, and you learn an additional mechanic trick at 4th level and every 2 levels thereafter. If a mechanic trick allows an opponent a saving throw to resist its effects, the DC is equal to 10 + half your mechanic level + your Intelligence modifier. If a mechanic trick requires an opponent to attempt a skill check, the DC is equal to 10 + 1-1/2 &times; your class level + your Intelligence modifier.<br />Unless otherwise specified, you can&rsquo;t learn mechanic tricks more than once. The list of mechanic tricks appears on page 71.</p>	0	CRB	68
13	2	Overload (EX)	3	<p>As a standard action, you can cause a short in an electronic device, including most ranged energy weapons, melee weapons with the powered special property, or a single armor upgrade. This makes the device nonfunctional for 1 round. Overload doesn&rsquo;t cause a locked door, safe, or other device to open, but it prevents anyone from opening it for 1 round. You must be adjacent to the device to use this ability. If you have a drone, you can instead use this ability on an electronic device adjacent to your drone. If you have an exocortex with the wireless hack ability, you can instead use this ability on any electronic device within range of your exocortex&rsquo;s wireless hack. If you use overload on an item or armor upgrade in someone&rsquo;s possession, the owner can attempt a Reflex saving throw to negate the effect (DC = 10 + half your mechanic level + your Intelligence modifier). Overload doesn&rsquo;t affect androids, cybernetics, drones, powered armor, robots, or creatures with the technological subtype (all of which have shielding against this sort of attack), or items larger than Medium. Once a device has been successfully overloaded, a residual static charge prevents that device from being overloaded again for 1 minute.</p>	0	CRB	68
14	2	Weapon Specialization (EX)	3	<p>You gain Weapon Specialization as a bonus feat for each weapon type this class grants you proficiency with.</p>	0	CRB	68
15	2	Remote Hack (EX)	5	<p>You can use your custom rig to attempt Computers and Engineering skill checks at a range of 20 feet. At 7th level and every 2 levels thereafter, this range increases by 10 feet. A target of this ability (or a creature attending or observing your target) can attempt a Perception or Sense Motive check (DC = 10 + 1-1/2 &times; your mechanic level + your Intelligence modifier) to determine that you are the origin of this activity.</p>	0	CRB	68
16	2	Expert Rig (EX)	7	<p>Your custom rig has improved. Whenever you use your custom rig to successfully hack into a computer, you can also disable one countermeasure installed in the system (except firewalls). In addition, your custom rig can now be used as any engineering or hacking specialty kit of item level 6th or lower, and it has the features of a computer with a tier equal to half your level with the artificial personality, hardened, or security I upgrade module. It also has an audio/video recorder. You can add extra modules or countermeasures to your custom rig at the normal prices. See page 213 for more information on computers.<br />You can also use your custom rig to communicate over an encrypted channel with your ship, allowing you to access your ship&rsquo;s downloaded data sets and transponder (see page 430) at a range of 5 miles. If you have a drone, you can issue commands to or directly control your drone at the same range.</p>	0	CRB	68
17	2	Miracle Worker (EX)	7	<p>As a move action, you can repair damage to a starship&rsquo;s systems or modify a suit of armor or weapon to function more efficiently. To use this ability, you must be able to handle the item affected without impediment. You can use this ability once per day at 7th level, plus one additional time per day for every 4 mechanic levels you have beyond 7th. The exact effect of this ability depends on the object or system you are modifying.<br /><strong>Armor:</strong>&nbsp;You grant a +2 enhancement bonus to a suit of armor&rsquo;s EAC and KAC for 1 minute.<br /><strong>Weapon:</strong>&nbsp;You grant a +2 enhancement bonus to a weapon&rsquo;s attack and damage rolls for 1 minute.<br /><strong>Damaged Ship:</strong>&nbsp;You restore a number of Hull Points equal to the starship's base frame HP increment. If this raises the ship&rsquo;s HP over a multiple of its Critical Threshold, you can repair critical damage to one system per multiple, reducing its severity by one step. For example, if your starship&rsquo;s Critical Threshold is 8 and you restore 10 HP, reducing the damage to the hull from 17 HP to 7 HP, you could restore one system from wrecked to glitching. Using this ability during starship combat is your action for the turn, and you can do it only during the engineering phase. See page 292 for more on ship construction and page 320 for more on damage to ships.</p>	0	CRB	68
