id	class_features_id	name	level	description
1	1	Brace Yourselves (Ex)	2	<p>As a move action, you can choose one enemy within 60 feet. Until the start of your next turn, you and your allies gain a +1 morale bonus to AC if adjacent to at least one other ally, as you all position yourselves so that your armor protects you better. The bonus persists even if the enemy moves beyond 60 feet or out of line of sight or hearing.<br />At 6th level, you can spend 1 Resolve Point to grant this bonus to AC against attacks made by all enemies within 60 feet.</p>
2	1	Clever Feint (Ex)	2	<p>As a standard action, you can fake out an enemy within 60 feet, making that enemy open to your attacks. Attempt a Bluff check with the same DC as a check to feint against that enemy (though this isn&rsquo;t a standard check to feint, so Improved Feint and Greater Feint don&rsquo;t apply). Even if you fail, that enemy is flat-footed against your attacks (see page 276) until the end of your next turn. If you succeed, the enemy is also flat-footed against your allies&rsquo; attacks until the end of your next turn. You can&rsquo;t use clever feint against a creature that lacks an Intelligence score.<br />At 6th level, you can spend 1 Resolve Point to treat a failed Bluff check for clever feint as if it were a success.</p>
3	1	Coordinated Reload (Ex)	2	<p>As a move action, you can grant a single move action to an ally within 60 feet. The ally can use that move action during her next turn to reload or draw a weapon. As part of the move action to activate this ability, you can also reload or draw a weapon. If the ally is adjacent to you, she can draw weapons and use ammunition you are carrying as though she were carrying them herself. The ally can use her extra move action in between her other actions, as well as before or after a full action. A character can use no more than one bonus action from coordinated reload or similar abilities (such as the quick quaff and hurry envoy improvisations) in a single round.</p>
4	1	Dispiriting Taunt (Ex)	2	<p>As a standard action, you can taunt an enemy within 60 feet. Attempt an Intimidate check with the same DC as a check to demoralize that enemy (though this isn&rsquo;t a check to demoralize, so you can&rsquo;t use abilities that would apply to a demoralization attempt, like the rattling presence expertise talent). If you fail, that enemy is off-target (see page 276) until the end of your next turn. If you succeed, that enemy is instead shaken (see page 277) until the end of your next turn. This is an emotion and fear effect.<br />At 6th level, you can spend 1 Resolve Point to treat a failed Intimidate check for dispiriting taunt as if it were a success.</p>
5	1	Don’t Quit (Ex)	2	<p>As a standard action, you can signal a single ally within 60 feet. That ally ignores one condition (see page 273) of your choice until the start of your next turn, chosen from the following list: confused, fascinated, fatigued, shaken, sickened, and staggered.<br />While your ally doesn&rsquo;t suffer the effects of the condition during that period, the condition is merely suppressed, not removed, and its effects resume at the start of your next turn. The condition can still be removed with spells, technology, and other effects as normal.<br />At 6th level, add the following conditions to the list: cowering, dazed, exhausted, frightened, nauseated, panicked, paralyzed, and stunned.<br />At 12th level, you can spend 1 Resolve Point to remove the condition with this ability instead of suppressing it. You can&rsquo;t remove a condition with a permanent duration (see page 271) in this way; if you attempt to do so, your attempt fails but you don&rsquo;t lose the Resolve Point.</p>
6	1	Expanded Attunement (Ex)	2	<p>You can use beneficial mind-affecting envoy improvisations to aid allies who usually would not be able to gain benefits from mind-affecting effects, such as constructs, robots, and undead. If the improvisation grants a morale bonus, even allies who can&rsquo;t normally benefit from morale bonuses gain that bonus.</p>
7	1	Fire Support (Ex)	2	<p>When you take a standard action to provide harrying fire and hit the AC of 15 required to do so, you also provide covering fire for the next ally attacked by the target of your harrying fire attacks before your next turn.<br />Additionally, as a full action, you can make two ranged attack rolls against two different targets, taking a &ndash;4 penalty to each attack roll, to apply harrying fire to each target hit. For each target that you successfully apply harrying fire to, you also provide covering fire for the next ally that is attacked by either target before your next turn.</p>
8	1	Frustrating Target (Ex)	2	<p>You duck and weave around an opponent in close combat, making it difficult for others to draw a bead on you. Once per turn as a move action, choose a significant enemy you are adjacent to. All other enemies take a &ndash;1 penalty to attack rolls against you until the beginning of your next turn, as long as you are still adjacent to the designated opponent.<br />At 6th level, you can spend 1 Resolve Point as a reaction when an enemy other than the designated opponent attacks you to make that enemy roll twice on a single attack and take the worse result, as a long as you are still adjacent to the designated opponent. Both of these rolls take the &ndash;1 penalty imparted by this ability.</p>
9	1	Get ’Em (Ex)	2	<p>As a move action, you can choose one enemy within 60 feet. Until the start of your next turn, you and your allies gain a +1 morale bonus to attack rolls made against that enemy. The bonus persists even if the enemy moves beyond 60 feet or out of line of sight or hearing.<br />At 6th level, you can spend 1 Resolve Point to grant this bonus to attack rolls and damage rolls against all enemies who are within 60 feet.</p>
10	1	Inspiring Boost (Ex)	2	<p>As a standard action, you can signal an ally within 30 feet who has taken damage from any attack made by a significant enemy (see page 242) at any point after your last turn ended. That ally regains a number of Stamina Points (up to his maximum) equal to twice your envoy level + your Charisma modifier; at 15th level, this increases to three times your envoy level + your Charisma modifier. Once an ally has benefited from your inspiring boost, that ally can&rsquo;t gain the benefits of your inspiring boost again until he takes a 10-minute rest to recover Stamina Points.<br />At 6th level, you can spend 1 Resolve Point to add your envoy level to the number of Stamina Points regained.</p>
11	1	Look Alive (Ex)	2	<p>When you spend a Resolve Point to regain Stamina Points after a 10-minute rest, all allies who stay within 60 feet of you throughout the rest gain a +2 morale bonus to Perception and initiative checks for the next hour or until the next 10-minute rest to recover Stamina Points, whichever comes first.</p>
12	1	Not in the Face (Ex)	2	<p>As a move action, you can choose one enemy within 60 feet. That enemy must succeed at a Will save or take a &ndash;4 penalty to all attacks it makes against you until the end of your next turn.<br />At 6th level, you can spend 1 Resolve Point to make the enemy take the penalty with no saving throw allowed.</p>
13	1	Phalanx Fighting (Ex)	2	<p>Whenever you or an ally within 10 feet of you is wielding a shield (see page 124), as a move action you can grant yourself and all allies within 10 feet of that ally the benefits of that shield until the start of your next turn.</p>
14	1	Quick Quaff (Ex)	2	<p>As a standard action, you can grant a single standard action to an ally within 60 feet. The ally can use that action during her next turn to draw or drink a serum (Core Rulebook 225) or draw or inject a spell ampule. As part of the action to activate this ability, you can also draw a serum or spell ampule, or if you used a standard action, drink a serum or inject a spell ampule. If the ally is adjacent to you, she can draw serums and spell ampules that you are carrying as though she were carrying them herself. The ally can use her extra action in between her other actions, as well as before or after a full action. A character can use no more than one extra action from quick quaff or similar abilities (such as the coordinated reload or hurry envoy improvisations) in a single round.</p>
15	1	Spell Gem Understanding (Su)	2	<p>You can use spell gems as if you were a spellcaster. For purposes of using spell gems, you treat all spells on the mystic, technomancer, and witchwarper spell lists as your class&rsquo;s spell list, and you use Charisma as your key ability score for your spellcasting. Your effective caster level for any spell gems you use is equal to your envoy level.</p>
16	1	Superior Covering Fire (Ex)	2	<p>When you take a standard action to provide covering fire and hit the AC 15 required, the target of your covering fire gains the circumstance bonus provided by your covering fire against all attacks attempted against them until the start of your next turn.<br />Additionally, as a full action you can make two ranged attack rolls to provide covering fire to two different allies, taking a &minus;4 penalty to each attack roll. For each target that you successfully apply covering fire to, the circumstance bonus provided by your covering fire applies against all attacks attempted against that ally until the start of your next turn.</p>
17	1	Universal Expression (Ex)	2	<p>When using a language-dependent improvisation that affects an enemy, you can use the improvisation against that enemy even if the two of you do not share a language.</p>
18	1	Watch Your Step (Ex)	2	<p>When an ally within 60 feet must succeed at a Reflex save to avoid a harmful effect, as a reaction before your ally attempts the saving throw, you can grant the ally a +2 bonus to that saving throw.<br />At 6th level, you can spend 1 Resolve Point to have the ally roll twice on the saving throw and take the better result. Both of those rolls benefit from the +2 bonus provided by this ability.</p>
19	1	Clever Attack (Ex)	4	<p>You can make an attack that throws your enemy off-balance. As a standard action, you can make a single attack against a target within 60 feet and gain the benefits of clever feint (attempting a Bluff check against the target as normal). Apply the effects of clever feint before resolving your attack. You must have the clever feint envoy improvisation to choose this improvisation.</p>
20	1	Duck Under (Ex)	4	<p>You can duck under a foe&rsquo;s melee attack, causing it to overextend and move into a position more favorable to you. You must take the total defense action (see page 247) to use this ability. If, before the start of your next turn, a foe misses you with a melee attack, as a reaction you can attempt a reposition combat maneuver with a +8 bonus to your attack roll against that foe.</p>
21	1	Exacly As I Would Have Done	4	<p>Your keen tactical mind predicts when and where an ambush would be ideal so you aren&rsquo;t surprised when enemies exploit the same strategy. You aren&rsquo;t flat-footed during a surprise round.<br />At 8th level, you can spend 1 Resolve Point to share this benefit with one ally you could have reasonably warned of the attack at the last minute; this application of the improvisation is a language-dependent, mind-affecting, sense-dependent effect.</p>
22	1	Focus (Ex)	4	<p>As a standard action, you can encourage a single ally within 60 feet to focus on the danger at hand. If that ally is flat-footed or off-target, you end that condition. If circumstances would cause the ally to immediately become flat-footed or off-target again, you instead suppress that condition for 1 round.</p>
23	1	Hurry (Ex)	4	<p>As a standard action, you can grant a single move action to an ally within 60 feet. The ally can use that move action during her next turn to take a guarded step, move up to her speed, or draw or sheathe a weapon. The ally can use her extra move action in between her other actions, and she can even use it before or after a full action. A character can use no more than one extra action from hurry in a single round.</p>
24	1	Infuriating Target (Ex)	4	<p>You move with skill and grace in combat, using others as living shields. When you use frustrating target, you also gain a +2 circumstance bonus to Reflex saving throws against area effects as long as you are still adjacent to the designated opponent. If your designated opponent is also within the same area of effect, it takes a &ndash;2 penalty to their Reflex save. You must have the frustrating target improvisation to choose this improvisation.<br />At 8th level, you can spend 1 Resolve Point as a reaction whenever you attempt a Reflex save against an area effect to have that area expand to encompass your designated opponent, as long as you are adjacent to it. The opponent&rsquo;s Reflex save takes a &ndash;2 penalty.</p>
25	1	Long-Range Improvisation (Ex)	4	<p>Double the range of your improvisations with ranges of at least 30 feet.</p>
26	1	Martyr's Improvisation (Ex)	4	<p>Whenever you&rsquo;re reduced to 0 Hit Points, as a reaction before gaining the dying condition, you can immediately use any one of your envoy improvisations that can be used as a standard action, move action, or reaction. Once you have used this improvisation, you can&rsquo;t use this ability again until you have regained Stamina Points following a 10-minute rest.</p>
27	1	Quick Dispiriting Taunt (Ex)	4	<p>You can use dispiriting taunt as a move action instead of a standard action. You must have the dispiriting taunt envoy improvisation to choose this improvisation.</p>
28	1	Quick Inspiring Boost (Ex)	4	<p>You can use inspiring boost as a move action instead of a standard action, though when you do so, the number of Stamina Points your ally recovers is reduced by your envoy level. You must have the inspiring boost envoy improvisation to choose this improvisation.</p>
29	1	Sudden Shift (Ex)	4	<p>As a reaction, whenever you or an ally deal damage to an opponent within 60 feet of you, you and all allies within 60 feet of the opponent can take a guarded step as a reaction. All of the characters who took a guarded step using this improvisation have their speed reduced by 5 feet until the end of their next turn.</p>
30	1	Terrifying Blast (Ex)	4	<p>When you throw a grenade, each creature within the radius of the explosion that fails its Reflex save against the grenade and takes damage from it must succeed at a Will save or gain the shaken condition for 1 round. This is a fear effect.</p>
31	1	Watch Out (Ex)	4	<p>As a reaction, when an enemy makes a ranged attack against an ally within 60 feet of you, you can warn that ally of the danger. You must spend your reaction when the enemy declares the attack but before it makes the attack roll. Your ally can spend a reaction to gain a +4 to AC against the triggering attack. Once the triggering attack is resolved, the ally falls prone.<br />At 8th level, you can spend 1 Resolve Point to prevent your ally from falling prone after the attack.</p>
32	1	Bedside Manner (Ex)	6	<p>When you make a Medicine check to treat deadly wounds or successfully aid another for another creature&rsquo;s Medicine check to treat deadly wounds, if the Medicine check is successful you can add your Charisma bonus to the number of Hit Points recovered as a result of the skill check. Additionally, when you make a Medicine check to treat disease or treat drugs or poison, or successfully aid another for another creature&rsquo;s Medicine check to do so, if the Medicine check is successful, the saving throw bonus granted by the skill checks increases to +6. If the associated saving throw succeeds, it counts as two consecutive successes for the purposes of curing the intended affliction</p>
33	1	Clever Improvisations (Ex)	6	<p>The first time you would spend Resolve Points on one of your envoy improvisations, reduce the cost by 1 Resolve Point (minimum 0). This ability refreshes whenever you take a 10-minute rest to recover Stamina Points and after an 8-hour rest to recover Resolve Points, reducing the Resolve Point cost of your next envoy improvisation after the rest.</p>
34	1	Coordinated Barrage (Ex)	6	<p>As a move action, choose one ally within 60 feet. That ally gains the benefit of the Coordinated Shot feat. If the chosen ally already has this feat, they do not grant foes cover against attacks made by you and your allies. The effects of this improvisation last until the start of your next turn.</p>
35	1	Coordinated Flankers (Ex)	6	<p>As a move action, you can coordinate your allies into effective flanking partners. Until the start of your next turn, you and your allies count as flanking any creature that at least two of you threaten, regardless of your position</p>
36	1	Draw Fire (Ex)	6	<p>As a standard action, you can spend 1 Resolve Point to make all enemies within 100 feet take a &ndash;4 penalty to all ranged attacks they make that don&rsquo;t target you until the end of your next turn. This penalty remains even if you and an enemy move more than 100 feet away from each other, and enemies that weren&rsquo;t within 100 feet when you used draw fire don&rsquo;t take the penalty if they later come within range.</p>
37	1	Heads Up (Ex)	6	<p>When you succeed at a Perception check, as a reaction, you can signal a single ally within 60 feet. That ally can act as if he had also succeeded at the Perception check with the same result.</p>
38	1	Improved Get ’Em (Ex)	6	<p>Your morale bonus from get &rsquo;em increases to +2. As a standard action, you can make a single attack against a target within 60 feet. You and your allies within 60 feet gain the benefits of get &rsquo;em against that target (applying these effects before making the attack roll). As with get &rsquo;em, you can spend 1 Resolve Point to grant the benefits against all enemies within 60 feet. You must have the get &rsquo;em envoy improvisation to choose this improvisation.</p>
39	1	Inspiring Oration (Ex)	6	<p>You can use inspiring boost as a full action. If you do, all allies within 60 feet of you regain a number of Stamina Points equal to twice your envoy level + your Charisma modifier (up to their maximum); at 15th level, this increases to three times your envoy level + your Charisma modifier. Once an ally has benefited from your inspiring boost or inspiring oration, that ally can&rsquo;t gain the benefits of either improvisation again until they recover Stamina Points following a 10-minute rest.<br />As with the inspiring boost envoy improvisation, you can spend 1 Resolve Point to add your envoy level to the number of Stamina Points regained. You must have the inspiring boost improvisation to select this improvisation.</p>
40	1	Trust Your Gear (Ex)	6	<p>As a move action, you can select an ally within 60 feet. Until the start of your next turn, that ally gains one of the following benefits: he can treat the armor check penalty of his armor as 4 lower than normal (to a minimum of 0); he can ignore the penalties for using armor or a weapon he is not proficient with; or he can ignore the broken condition of an item he is wearing or using.</p>
41	1	Coordinated Maneuvers (Ex)	6	<p>Whenever an ally within 60 feet attempts to use a combat maneuver against an opponent, as a reaction you can signal weak points in the opponent&rsquo;s defenses. The ally gains a morale bonus to their attack roll for that combat maneuver equal to 1d4+1. Once you use this ability, you can&rsquo;t use it again until after you regain Stamina Points following a 10-minute rest.</p>
42	1	Desperate Defense (Ex)	8	<p>As a move action, you can cause one ally adjacent to you to not be considered helpless (see page 276) for the purpose of actions that can be used only against helpless creatures (such as a coup de grace). This effect ends if the creature ceases to be adjacent to you or at the beginning of your next turn, whichever comes first.</p>
43	1	Expert Attack (Ex)	8	<p>As a move action, you can spend 2 Resolve Points to add your bonus from expertise to your next attack roll before the end of your turn.</p>
44	1	Hidden Agenda (Ex)	8	<p>You&rsquo;re an expert at veiling your true thoughts and goals. Whenever a creature attempts a Sense Motive check to detect a deception of yours, the creature must roll twice and take the worse of the two results. When you attempt a saving throw against an effect or ability that would read your thoughts or reveal your motives, you can roll twice and take the better of the two results.</p>
45	1	Improved Brace Yourselves (Ex)	8	<p>Your morale bonus from brace yourselves increases to +2. When you use this ability, each ally within 60 feet may also drop prone as a reaction. You must have the brace yourselves envoy improvisation to choose this improvisation.</p>
46	1	Improved Hurry (Ex)	8	<p>You can use the hurry envoy improvisation as a move action instead of a standard action. You must have the hurry envoy improvisation to choose this improvisation.<br />At 12th level, you can use hurry as a standard action and spend 1 Resolve Point to grant a standard action instead of a move action.</p>
47	1	Improved Terrifying Blast (Ex)	8	<p>When you use the terrifying blast envoy improvisation, the amount of rounds that creatures are shaken due to failing the Will save increases to 1d4+1 rounds. You must have the terrifying blast envoy improvisation to choose this improvisation. This is a fear effect.</p>
48	1	Seize the Advantage (Ex)	8	<p>As a reaction, whenever you or one of your allies critically hits a creature, you can choose one ally within 60 feet of the target of the critical hit. The chosen ally can immediately attack the target creature with one weapon they&rsquo;re currently wielding as a reaction. If they do, the chosen ally takes a &minus;4 penalty to their attack roll and is staggered until the end of their next turn. Characters who can&rsquo;t be staggered can&rsquo;t benefit from this improvisation. Once you use this ability, you can&rsquo;t use it again until after you regain Stamina Points following a 10-minute rest.</p>
49	1	Situational Awareness (Ex)	8	<p>If you ready an action, once before the trigger you selected occurs, you can spend 1 Resolve Point to change both the trigger and the action you have ready. You must ready an action that takes the same kind of action as your originally readied action, or you must ready a lesser action. (For example, if you readied a standard action, you could switch to another standard action, a move action, or a swift action, and if you readied a move action, you could switch to another move action or a swift action.)</p>
50	1	Sustained Determination (Ex)	8	<p>As a move action, you can spend 2 Resolve Points to grant an ally within 60 feet 1 Resolve Point that he can spend to empower one of his abilities, even if he has spent all of his own Resolve Points. The ally must spend the Resolve Point before the start of your next turn; if he does not do so, he loses the Resolve Point and you still lose the Resolve Points you spent. You can&rsquo;t grant the same ally the benefits of this ability again until both you and your ally have recovered your Resolve Points after an 8-hour rest or its equivalent.</p>
51	1	Coordinated Charge (Ex)	12	<p>Whenever you or an ally within 60 feet of you charges an opponent, you can signal all allies within 60 feet of the charging character as a reaction. Signaled characters can also charge the opponent as a reaction if the distance between the character and the charged opponent is equal to or less than the signaled character&rsquo;s speed. All characters that charge an opponent using this improvisation are staggered until the end of their next turn. Characters who can&rsquo;t be staggered can&rsquo;t benefit from this improvisation. Once you use this ability, you can&rsquo;t use it again until after you regain Stamina Points following a 10-minute rest.</p>
52	1	Fusion Resonance (Su)	12	<p>As a standard action, choose yourself or one ally within 60 feet. The chosen character must be within 10 feet of you or another ally that is within 60 feet of you. Until the end of the chosen character&rsquo;s turn, they can choose one weapon fusion on a weapon wielded by an ally within 10 feet of them. The chosen character applies the benefits of the chosen weapon fusion on all weapon attacks they make until the end of their next turn. This fusion doesn&rsquo;t count toward the maximum total level of fusions the chosen character&rsquo;s weapons can have at once.</p>
53	4	Additional Skill Expertise (Ex)	3	<p>Choose another skill in which you have at least 1 rank from the list of skills you can choose with the expertise class feature; you can use expertise with that skill. You can choose this talent up to three times, choosing a different skill each time.</p>
54	4	Altered Bearing (Ex; Disguise)	3	<p>You can quickly adjust your posture, your stride, your demeanor, and the way your clothes and gear fit, causing casual observers to fail to recognize your true appearance. When you attempt a Disguise check to alter minor details of your appearance, you can forgo your expertise die to attempt the check as a move action. You don&rsquo;t reduce the DC by 5 for attempting to alter only minor details, and if an observer succeeds at an opposed Perception check that pierces your disguise, he also realizes your true race and what features you have disguised. You can&rsquo;t use this ability for more complex disguises.</p>
55	4	Analyst (Ex; Sense Motive)	3	<p>You have been taught to carefully consider your own assumptions, making it much less likely you assign false motives to other creatures. When using Sense Motive to detect deception or discern a secret message, as long as your expertise die roll result is not a 1, you don&rsquo;t think a truthful statement contains deceptions or infer false information from a secret message even if you fail your check by 5 or more.</p>
56	4	Battlefield Medic (Ex; Medicine)	3	<p>When you attempt a Medicine check to stop bleed damage or administer first aid to a dying creature, you can choose not to roll your expertise die in order to also automatically treat deadly wounds on that creature if your Medicine check is successful. The DC for the check is based on the medical equipment used, using the DC for treat deadly wounds + 5. This does not count as the treat deadly wounds treatment for the purposes of how many times per day a creature can receive this treatment, though a creature can only benefit from battlefield medic once per day. If you also have the surgeon expertise talent, you can increase the DC of a battlefield medic-related Medicine check by a total of 10 to use battlefield medic to treat deadly wounds on a creature one additional time per day (which does not count as a use of the surgeon expertise talent).</p>
57	4	Biometric Implants (Ex; Disguise)	3	<p>You have small implants that make microscopic alterations to your DNA, allowing you to attempt a Disguise check in place of Computers or Engineering to defeat biometric locks. If you have access to another creature&rsquo;s biometric data, you can duplicate it automatically and open biometric locks keyed to them.</p>
58	4	Borrowed Guise (Ex; Disguise)	3	<p>While you are wearing or wielding one or more items with a combined bulk of 1 or more that you have taken from another creature, you can more readily assume a false identity, disguising yourself as a creature of the same race or organization. You don&rsquo;t need a disguise kit to attempt a Disguise check to change your appearance when using this expertise talent, though using one grants you a +2 bonus to your check. If you forgo rolling your expertise die, changing your appearance takes only 1d3 minutes rather than 1d3 &times; 10 minutes.<br />Alternatively, if you have the materials that qualify for you to use this expertise talent, you may forgo your expertise die to attempt to disguise yourself as that exact creature. Anyone who knows that creature well gains a +10 bonus to Perception checks to oppose your disguise.</p>
59	4	Cautious Expertise (Ex; see below)	3	<p>Choose a skill you have selected with the skill expertise class feature. When you take 20 (see page 133) with this skill, you can roll your expertise die twice and take the better result.<br />You can choose this talent up to three times, choosing a different skill selected with the skill expertise class feature each time.</p>
60	4	Computer Whiz (Ex; Computers)	3	<p>When you attempt a Computers check, you can choose not to roll your expertise die until later. After you determine what the check&rsquo;s result would be, you can choose to either roll your expertise die and add it to the total or forgo the expertise die and reroll the check (Core Rulebook 243). At 9th level, you can spend 1 Resolve Point to both reroll the check and add the result of your expertise die.</p>
