id	name	prerequisities	description	long_description	combat	source	source_page
1	Adaptive Fighting	Three or more combat feats	Once per day as a move action, gain the benefit of a combat feat you don't have/	<p>Select three combat feats that you do not have but whose prerequisites you meet. Once per day as a move action, you can gain the benefit of one of these feats for 1 minute. Each time you gain a level, you can replace one of these three selected feats with a different feat that you don't have but meet the prerequisites for.</p>|	yes	CRB	154
2	Add Leverage	Str 15	Grip your weapon with more hands to move foes farther with combat maneuvers	<p>For each hand you use to wield your weapon beyond the minimum required to wield that weapon, you increase the distance you can move your opponent with a successful bull rush or reposition combat maneuver by 5 feet. If you use a trip combat maneuver against a flying opponent, you can increase the distance that creature descends by 5 feet for each additional hand used to wield your weapon. Changing your grip to alter the number of hands you are wielding a weapon with is a swift action. You can’t hold items in hands used to add leverage, or use them for any other purpose.</p>|	yes	COM	112
3	Advance Warning	Cha 15	Shout a warning to your allies, causing them to stop being flat-footed	<p>As a move action, you can shout a warning to your allies, ending the flat-footed condition for any ally within 60 feet. You cannot use this feat when you’re flat-footed. Once you’ve used this ability, you cannot do so again until you’ve regained Stamina Points after a 10-minute rest. This is a sense-dependent ability.</p>|	yes	COM	112
4	Advanced Melee Weapon Proficiency	Proficiency in basic melee weapons	No penalty to attacks with advanced melee weapons	<p>You gain proficiency in advanced melee weapons.</p>|	yes	CRB	154
5	Ambuscade	null	When you make an attack in the surprise round against a target that has not yet acted, gain a bonus to attacks and damage	<p>When you act in a surprise round and attack a target that has not yet acted in the same combat, you gain a +1 bonus to your attack roll and a bonus to damage equal to half your base attack bonus.</p>|	yes	COM	112
6	Ambush Awareness	null	If you fail the Perception check to act in the surprise round, you can still take a full defense action	<p>If you are unable to act in the surprise round because you failed a Perception check, you can still act on your initiative count in the surprise round, but only to take the total defense action.</p>|	yes	COM	112
7	Amplified Glitch	Computers 3 ranks, Intimidate 3 ranks	Disrupt devices, causing targets to become shaken for 1 round or more	<p>As a standard action, you can wirelessly introduce a fast-acting virus into nearby technological devices to briefly cause them to malfunction in loud, surprising ways. You can use this ability on one target creature per character level, no two of which can be more than 30 feet apart. Each target must either be carrying technological devices or be within sight and hearing of such devices. While the locations of such devices are up to the GM, most public spaces (aside from technologically underdeveloped areas) contain enough technology for this feat to function. Your glitch causes alarms to go off, automated devices to spin and flail, readouts to flash brightly, and so on. With a successful Computers check (DC = 15 + 1 per target + 1-1/2 x the CR of the highest-CR target), all targets are shaken for 1 round, plus 1 additional round for every 5 by which your result exceeds the DC.<br/>Once you have targeted a creature with this feat, that foe is immune to this ability for 24 hours.</p>|	yes	CRB	155
8	Barricade	Engineering 1 rank	Create your own fragile cover	<p>As a move action, you can stack and reinforce objects that are too small or too fragile to provide cover into a single square of adjacent cover. The GM has discretion over whether enough such objects are nearby to allow you to use this ability, but most urban and wilderness settings not specifically described as empty or barren have enough such material to allow at least one such temporary barricade to be built. The barricade grants partial cover against attacks with line of effect that pass through it. If the barricade is in a square that already granted partial cover, it instead grants normal cover.<br/> The barricade is temporary and not particularly durable. When determining its hardness and Hit Points, treat it as a piece of equipment with an item level equal to half your total ranks in Engineering (minimum 1st level). Additionally, once it or a creature adjacent to it is hit by an attack, the barricade collapses at the beginning of your turn in 1d4 rounds (unless the barricade is destroyed completely by the attack). There isn’t normally enough material for you to build a second barricade in exactly the same space unless you are in a particularly crowded area (as determined by the GM).</p>|	yes	CRB	155
9	Basic Melee Weapon Proficiency	null	No penalty to attacks with basic melee weapons	<p>You gain proficiency in basic melee weapons.</p>|	yes	CRB	155
10	Blind-Fight	null	Reroll miss chances from concealment	<p>In melee, every time you miss because of concealment, you can reroll your miss chance percentile roll one time to see if you actually hit.<br/> You aren’t flat-footed against melee attacks from creatures you can’t see, and you can withdraw from creatures you can’t perceive. You don’t need to attempt Acrobatics checks to move at full speed while blinded.</p>|	yes	CRB	155
