name	description	type	level	price	bulk	capacity	usage	hands	source	source_page
Attablossom	<p>Activating the attablossom is a standard action, causing it to vibrate and hum pleasantly and almost inaudibly, filling a 20-foot-radius spread with a sense of ease. A creature in this area that fails a DC 13 Will saving throw takes a –2 penalty to Perception checks and saving throws against effects that cause sleep. An attablossom operates on its own power for up to 1 hour per day, but any activation uses 10 minutes of this time. The device has a timer allowing it to activate automatically and to time its activation to a specific length.</p>	Hybrid	1	150	L	null	null	null	DF02	14
Dust Goggles (Worn)	<p>These goggles of smoked glass are used by membrane ghibranis of Elytrio to protect their eyes during the frequent dust storms in the wastes of their ravaged planet. When you wear a pair of dust goggles, the penalty to Perception checks from storms is removed and your visibility range isn’t reduced (see Weather on page 398 of the Starfinder Core Rulebook). In addition, you reduce your miss chance due to concealment from smoke and fog (including that produced by a smoke grenade or an effect such as fog cloud) by 10% (to a minimum of 0%); this reduction doesn’t stack with any other ability that reduces miss chance due to concealment.<br/> Dust goggles can also be installed in armor (or an android’s armor upgrade slot) as an armor upgrade. This has no effect on weight or cost, but when installed in this way, they do not count toward a character’s limit of two worn magic or hybrid items at once.</p>	Hybrid	1	120	null	null	null	null	DS05	43
Instant Ground	<p>Exiles on Atachuuva developed instant ground to expand their land. Following the Swarm’s attack on Atachuuva, survivors use instant ground to create patches of land to serve as new homes. Instant ground is water resistant but still somewhat biodegradable as a few of Atachuuva’s oversized insect species have developed a taste for it.<br/> Each container holds a biochemical powder mixed with magically charged particles from the Plane of Earth. When poured into water as a full action that provokes attacks of opportunity, the components react swiftly to form a stable, buoyant platform in a 5-foot radius, provided the amount of water large enough to allow this expansion. If the body of water is smaller than the resulting ground area, instant ground consumes the available water and fills the available space. Any remaining powder is rendered inert. The landmass is a hemisphere with its dome pointed downward, so the ground is flat and stays upright on rough water.</p>	Hybrid	1	25	1	null	null	null	A!03	42
Plant Shield Amulet (Worn)	<p>A plant shield amulet creates an energy field around you, resonating with magic frequencies that repel plants. You can move through undergrowth that acts as difficult terrain (such as bushes, fungal blooms, roots, and vines) at your normal speed and without taking damage from thorns or similar elements of the plant life. Plant creatures’ attacks and abilities, as well as spells and other magical effects such as the xenodruid’s grasping vines mystic connection power, affect you normally.</p>	Hybrid	1	300	null	null	null	null	DS05	43
Shotalashu Saddle	<p>This traditional saddle for shotalashu riders is adorned with small, colorful gems and engraved with intricate images of lashunta culture. More than a simple decoration, however, a shotalashu saddle amplifies and solidifies the lashunta’s telepathic bond with its mount through a series of telepathic relays that serve as conductors from the rider’s body to the shotalashu’s. While riding a shotalashu saddle, you gain a +5 bonus on Survival checks to ride the shotalashu. While austere, mass‑produced shotalashu saddles that provide the same benefit as handmade versions certainly exist, most lashuntas consider it disrespectful to their mount not to use a lovingly crafted artisanal saddle. Particularly beautiful saddles often serve as cherished heirlooms, passed down through generations, and it’s not uncommon for lashuntas to mark special milestones in their loved ones’ lives with the gift of a new shotalashu saddle. A functional shotalashu saddle costs 300 credits, though particularly elaborate or ancient specimens may be worth many times more.</p>	Hybrid	1	300		null	null	null	AA2	115
Software Imp, Tier 1	<p>Whether or not it has attained true consciousness, a software imp is a perverse and illegal AI obnoxious enough that the question is academic. Software imps come on memory sticks so they remain isolated from your own systems. A software imp has a tier, and it is ineffective on any computer of a higher tier than its own.<br/> You must have access to a computer to install a software imp on it, and you can do so as a full action. The imp renders its memory stick unusable on the way out, leaving no way to conclusively determine what was once stored there. Once installed, the software imp becomes an artificial personality on its host computer. If the computer already has an artificial personality, the imp finds and overwrites it if possible. Faced with an artificial personality to which it does not have access, the imp lies in wait until it gains access to that personality in order to replace it.<br/> Initially, the imp can access information and modules that were accessible to you when you installed the imp. It can gain further access if a user unwittingly uses more access while the imp is installed. The imp can also fool users into giving it more access by attempting Bluff, Diplomacy, Intimidate, and Sense Motive checks with a bonus according to its tier.<br/> While acting as an artificial personality, the imp is as unhelpful as possible to anyone attempting to use the system. The software imp doesn’t ignore commands, but it interprets them in the worst way possible. It can misdirect, reveal unwanted information, obfuscate the truth, and otherwise aggravate and demoralize the user.<br/> Finding and removing a software imp requires a successful Computers check to hack the imp as if it were a computer of its tier. However, the imp copies and installs itself as redundantly as it can, based on its tier number, and it can revive itself so long as a single copy remains. A dismissal spell targeting a computer infested with software imps can remove the malicious AIs as if they were extraplanar creatures, each with a CR equal to its item level and a Will save bonus based on its tier.<br/> The tiers of software imps and the capabilities of each are as follows.</p>	Hybrid	1	400	null	null	null	null	ARM	124
Starstone Compass	<p>This small, clockwork navigational device hones in on mystical signals emitted by the Starstone resting at the heart of Absalom Station, calculating the compass’s precise distance from and direction relative to the enigmatic font. While you are in the Pact Worlds system, this device lets you automatically know which direction Absalom Station is in relation to your current location, and it grants you a +2 insight bonus to Piloting checks when astrogating throughout the Pact Worlds system.</p>	Hybrid	1	3	L	null	null	null	CRB	227
Thermal Regulator	<p>A thermal regulator unit works like a thermal regulator armor upgrade. However, the unit is a harness you wear with temperature regulating fluid and a belt-supported pump and power unit. The harness and belt unit can be worn under armor, but they have an independent power source. A thermal regulator unit can use any sort of battery, and the unit has a usage of 1 per hour or a fraction thereof.</p>	Hybrid	1	150	L	null	null	null	DF02	17
Empathic Depiction, Portrait	<p>Lashunta artists have techniques to collect emotions and memories associated with an individual and imprint them onto a representative piece of art lashuntas call an empathic depiction. To collect such memories, a telepathic artist interviews the subject along with those who know or have strong memories of the subject. This process takes at least a week. In the past, these objects were magical, and some still are, but most modern empathic depictions are hybrid items that use advanced holography to create realistic memorials. Creating such an empathic depiction is a crafting task that uses the Engineering skill (Starfinder Core Rulebook 235) or an appropriate artistic Profession skill in a similar way. (A wholly magical version uses Mysticism instead.)<br/> Creatures within range of an empathic depiction (based on its model) can feel the emotions and recall the memories placed within it. A creature can attempt a Will saving throw (DC based on the model) to resist these experiences, which cause no damage or harmful effect. These hybrid items utilize magic and psychic energy, remaining active while an observer is in range. They can also be plugged into a power grid and operate continuously while such power flows.</p>	Hybrid	2	750	null	null	null	null	DF01	45
Lesser Shadowstaff	<p></p>	Hybrid	2	500	1	null	null	null	AA1	37
