id	name	effected_stat	modification	description
1	darkvision	null	0	Darkvision is the ability to see with no light source at all, out to a range specified in the creature’s description. Darkvision is black and white only (colors cannot be discerned). It does not allow characters to see anything that they could not see otherwise when a creature has darkvision, invisible objects and creatures are still invisible, and illusions are still visible as what they seem to be. Likewise, darkvision subjects a creature to gaze attacks normally (see the Starfinder Alien Archive). The presence of light does not affect darkvision.
2	low-light vision	null	0	Characters with low-light vision can see in dim light as if it were normal light
3	blindsense	null	0	Blindsense is the ability to use an imprecise nonvisual sense (or a combination of senses) to operate effectively without vision. Blindsense operates out to a range specified in the creature’s description. A creature with blindsense typically perceives using a specific sense, which is indicated in parentheses after the blindsense entry in the creature’s statistics. If the indicated sense somehow becomes unusablesay, for example, if a creature that uses sound to perceive through its blindsense becomes deafthe creature loses access entirely to its blindsense. The typical senses through which creatures with blindsense can perceive are emotion, life, scent, sound, thought, and vibration. If you have the blindsense special ability and succeed at a Perception check to notice an unseen creature, you become aware of the creature’s location. Blindsense negates the bonuses to Stealth checks that an unseen creature would otherwise receive, but unseen creatures still have total concealment against the attacks of creatures with blindsense, and creatures with blindsense are still flat-footed against the attacks of unseen creatures. See Dealing with Unseen Creatures for more information.
4	blindsight	null	0	Blindsight is a precise nonvisual sense (or a combination of senses) that functions as a more potent version of blindsense. Blindsight operates out to a range specified in the creature’s description. A creature with blindsight typically perceives using a specific sense, which is indicated in parentheses after the blindsight entry in the creature’s statistics. If the indicated sense somehow becomes unusablesay, for example, if a creature that uses scent to perceive through its blindsight loses its sense of smellthe creature loses access entirely to its blindsight. The typical senses through which creatures with blindsight can perceive are emotion, life, scent, sound, thought, and vibration. If you have blindsight and succeed at a Perception check to notice a hidden creature, you are observing the creature. Blindsight negates concealment, displacement, invisibility, magical darkness, and similar effects, though a creature with blindsight still can’t perceive ethereal creatures (see the ethereal jaunt spell). A creature with blindsight cannot be blinded and is not subject to gaze attacks (see the Starfinder Alien Archive). Blindsight is still limited in many ways compared to normal vision. Blindsight never allows a creature to distinguish color or visual contrast, though it might be able to make out other features depending on the sense. A creature cannot read written text with blindsight, though it could still use tactile communication. Blindsight works underwater and in fog or smoke, but it typically does not work in a vacuum (although this depends on the nature of the sense; for instance, emotion-based blindsight would work in a vacuum).
5	+1 Stamina / level	stamina	0	+1 Stamina Point per character level
6	incorporeal	null	0	An incorporeal creature doesn’t have a physical body. It is immune to all nonmagical kinetic attacks. All energy attacks and magical kinetic attacks deal half damage (50%) to it. An incorporeal creature takes full damage from other incorporeal creatures and effects, as well as from all force effects. Corporeal spells and effects that do not cause damage have only a 50% chance of affecting an incorporeal creature. An incorporeal creature is immune to critical hits. Incorporeal creatures’ attacks always target their enemies’ Energy Armor Class. Incorporeal creatures cannot take any physical actions that would move or manipulate an opponent or its equipment, including combat maneuvers, nor are they subject to any such actions. An incorporeal creature can enter or pass through solid objects but must remain adjacent to such an object’s exterior, and so it cannot pass through the center of an object whose space is larger than its own. It can sense the presence of creatures or objects within squares adjacent to its current location, but enemies have total concealment (50% miss chance; see Concealment) from an incorporeal creature that is inside an object. An incorporeal creature inside an object has total cover, but when it attacks a creature outside the object it has only cover (see Cover). An incorporeal creature cannot pass through a force effect. Incorporeal creatures pass through and operate in vacuum, water, and zero gravity as easily as they do in air. Incorporeal creatures cannot fall or take falling damage. They have no weight and do not set off traps that are triggered only by weight. Incorporeal creatures move silently and cannot be heard with Perception checks unless they wish to be. Any sense (including blindsense or blindsight) based on scent, sound, or touch is ineffective at perceiving incorporeal creatures. These creatures have an innate sense of direction and can move at full speed even when they cannot see.
7	invisible	null	0	An invisible creature is visually undetectable. A creature using only an imprecise sense, or whose only precise sense is vision, can’t observe an invisible creature, so the invisible creature is unseen by such a would-be observer. Creatures with blindsight can perceive invisible creatures normally, since blindsight is a precise sense that does not rely on vision, and thus can observe invisible creatures. See Senses and Dealing with Unseen Creatures for more information. Invisible creatures remain invisible even in unusual environments, such as underwater, and when subject to effects such as fog or smoke. They are not magically silenced. They can still be heard, smelled, and felt as normal, even if other creatures can’t see them. Invisible creatures leave tracks and can be tracked normally. A character looking for an invisible creature might find his quarry if the invisible creature drops an item, speaks, smells strongly, leaves an obvious trail, or performs some action that makes itself known. Finding an invisible creature in this way requires a Perception check as normal. If successful, and assuming your only precise sense is vision, you become aware of the invisible creature’s presence, but you don’t know its exact location. If you’re looking for an invisible creature, the GM might rule that you have a bonus or penalty to your Perception checks based on the situation. Items dropped or put down by an invisible creature become visible; items it picks up disappear if tucked into the clothing or pouches worn by the creature. Light, however, never becomes invisible, although a source of light can become so (thus creating the effect of a light with no visible source). Any part of an item that the creature carries but that extends more than 10 feet from it becomes visible. Invisibility does not thwart divination spells or effects. Invisible creatures cannot use gaze attacks (see the Starfinder Alien Archive). If you are or become invisible while grappled, you gain a +2 circumstance bonus to your check to escape being grappled, but you gain no other benefit against the grappler.
8	sense through	null	0	An invisible creature is visually undetectable. A creature using only an imprecise sense, or whose only precise sense is vision, can’t observe an invisible creature, so the invisible creature is unseen by such a would-be observer. Creatures with blindsight can perceive invisible creatures normally, since blindsight is a precise sense that does not rely on vision, and thus can observe invisible creatures. See Senses and Dealing with Unseen Creatures for more information. Invisible creatures remain invisible even in unusual environments, such as underwater, and when subject to effects such as fog or smoke. They are not magically silenced. They can still be heard, smelled, and felt as normal, even if other creatures can’t see them. Invisible creatures leave tracks and can be tracked normally. A character looking for an invisible creature might find his quarry if the invisible creature drops an item, speaks, smells strongly, leaves an obvious trail, or performs some action that makes itself known. Finding an invisible creature in this way requires a Perception check as normal. If successful, and assuming your only precise sense is vision, you become aware of the invisible creature’s presence, but you don’t know its exact location. If you’re looking for an invisible creature, the GM might rule that you have a bonus or penalty to your Perception checks based on the situation. Items dropped or put down by an invisible creature become visible; items it picks up disappear if tucked into the clothing or pouches worn by the creature. Light, however, never becomes invisible, although a source of light can become so (thus creating the effect of a light with no visible source). Any part of an item that the creature carries but that extends more than 10 feet from it becomes visible. Invisibility does not thwart divination spells or effects. Invisible creatures cannot use gaze attacks (see the Starfinder Alien Archive). If you are or become invisible while grappled, you gain a +2 circumstance bonus to your check to escape being grappled, but you gain no other benefit against the grappler.
9	blocking sense through	null	0	Some sense through abilities (generally those of a magical nature) cannot penetrate specific materials. This is indicated in brackets after the associated sense in the sense through entry in the creature’s statistics. For example, a lycanthrope with sense through (scent [blocked by silver]) can smell through wallsbut not through even a thin layer of silver. Unless stated otherwise, in addition to all other limitations, sense through is blocked by energy fields and sufficiently dense material. This includes all energy fields that impact the physical world (such as force fields that grant temporary Hit Points and force effects such as the wall of force spell). The density limitation generally causes these senses to be blocked by 10 feet of wood or plastic, 5 feet of stone, 1 foot of common metal, or 6 inches of lead or any starmetal (such as adamantine). Typical suits of armor and containers do not block such vision unless they specify otherwise.
10	-2 to sense motive	sense motive	-2	null
11	telepathy	null	0	A creature with the telepathy special ability can mentally communicate with any other creature within a certain range (specified in the creature’s description, though the range of telepathy is usually 100 feet) that knows a language. It is possible to address multiple creatures at once telepathically, although maintaining a telepathic conversation with more than one creature at a time is just as difficult as simultaneously speaking and listening to multiple people at the same time.
12	limited telepathy	null	0	Limited telepathy functions in the same manner as telepathy, except that both the creature with the limited telepathy special ability and the creature it is communicating with must have a language in common.
13	+1 Feat	feats	1	null
14	+1 Skill	skills	1	null
15	+1 Culture	culture	1	null
16	+2 Acrobatics	acrobatics	2	null
17	+2 Athletics	athletics	2	null
18	+2 Charisma	charisma	2	null
19	+2 to Any Skill	any skill	2	null
20	+2 Intelligence	intelligence	2	null
21	-2 Constitution	constitution	-2	null
22	+2 Diplomacy	diplomacy	2	null
23	+2 Culture	culture	2	null
24	+2 Engineering	engineering	2	null
25	+2 Stealth	stealth	2	null
26	+2 Survival	survival	2	null
27	+3 acrobatics	acrobatics	3	null
28	+3 athletics	athletics	3	null
29	+3 bluff	bluff	3	null
30	+3 computers	computers	3	null
31	+3 culture	culture	3	null
32	+3 diplomacy	diplomacy	3	null
33	+3 disguise	disguise	3	null
34	+3 engineering	engineering	3	null
35	+3 intimidate	intimidate	3	null
36	+3 life science	life science	3	null
37	+3 medicine	medicine	3	null
38	+3 mysticism	mysticism	3	null
39	+3 perception	perception	3	null
40	+3 physical science	physical science	3	null
41	+3 piloting	piloting	3	null
42	+3 profession	profession	3	null
43	+3 sense motive	sense motive	3	null
44	+3 sleight of hand	sleight of hand	3	null
45	+3 stealth	stealth	3	null
46	+3 survival	survival	3	null
47	acrobatics class skill	acrobatics	2	null
48	athletics class skill	athletics	2	null
49	bluff class skill	bluff	2	null
50	computers class skill	computers	2	null
51	culture class skill	culture	2	null
52	diplomacy class skill	diplomacy	2	null
53	disguise class skill	disguise	2	null
54	engineering class skill	engineering	2	null
55	intimidate class skill	intimidate	2	null
56	life science class skill	life science	2	null
57	medicine class skill	medicine	2	null
58	mysticism class skill	mysticism	2	null
59	perception class skill	perception	2	null
60	physical science class skill	physical science	2	null
61	piloting class skill	piloting	2	null
62	profession class skill	profession	2	null
63	sense motive class skill	sense motive	2	null
64	sleight of hand class skill	sleight of hand	2	null
65	stealth class skill	stealth	2	null
66	survival class skill	survival	2	null
67	Climb Speed = Base Speed	climb	2	null
68	Can Cast Minor Mystic Spells	null	0	null
69	+2 resolve	resolve	2	null
70	+2 fortitude	fortitude	2	null
71	4 initiative	initiative	4	null
72	+2 will	will	2	null
73	+2 reflex	reflex	2	null
74	Swim = Base	null	0	null
75	Minor Technomancer Spells	null	0	null
76	+1 attack if proficient	attack	1	null
77	Specialization for All Proficiencies	null	0	null
78	+1 attack with Advanced Melee	null	0	null
79	+1 attack with Basic Melee	null	0	null
80	+1 attack with Grenades	null	0	null
81	+1 attack with Heavy Weapons	null	0	null
82	+1 attack with Longarms	null	0	null
83	+1 attack with Small Arms	null	0	null
