id	name	sub_race_name	description	ability	avg_height_or_length	avg_weight	age_of_maturity	maximum_age	hit_points	size	type	subtype	source	source_page
1	Aasimar	null	<p>Many kinds of extraplanar beings can infuse humanoids’ bloodlines, whether as a side effect of powerful magic or the result of a tryst; those in whom extraplanar traits surface strongly are known as planar scions. Aasimars and tieflings, the mortal offspring of celestials and fiends, respectively, are the most common of these. Though planar scions resemble their humanoid kin, their appearance and demeanor bear supernatural touches. Tieflings might have horns, vestigial wings, or cloven hooves, while aasimars may have glowing eyes or a metallic sheen to their hair and skin.<br/> Because of their innate curiosity, humans are more likely to dally with outsiders, and as a consequence, a significant percentage of planar scions living in the Pact Worlds are descended from humans. However, because humans are far less populous than in pre-Gap eras, planar scions descended from other humanoid races are now far more numerous. A planar scion might pass for a member of the humanoid parent’s species, or the scion’s otherworldly features could make their origin obvious to those who are familiar with the species’ normal characteristics. Those whose outsider blood is evident still find acceptance in most major settlements across the Pact Worlds, where diverse beings coexist in peace. On Absalom Station, the hub of interspecies relations, few people bat an eye when they meet an aasimar or tiefling.<br/> However, in insular or tradition-bound communities, any signs of plane-touched heritage can be a blessing—or a death sentence—depending on the dominant traditions. The demon-worshiping drow of Apostae see tieflings as a favor from demonic patrons, while the elves of Sovyrian on Castrovel are likely to banish children who bear such fiendish heritage. The Radiant Cathedral, on the other hand, trains aasimars to become beacons of the Sarenite faith, and also guides tieflings to a brighter future than their heritage suggests. Formians, shobhads, vesk, and other species with flexible morality view aasimars and tieflings, particularly those descended from their own kind, with both admiration and suspicion.<br/> Planar scions are often outliers in their community, either put on a pedestal or ostracized because of their ancestry. The potent blood that courses through the veins of aasimars and tieflings also makes them ambitious; many choose a dangerous but rewarding profession, such as explorer, mercenary, spy, or pilot.</p>	+2 CHA	5–7 ft.	100–300 lbs.	18 years	80+2d20 years	4	Medium	Outsider	Native	AA2	99
2	Amrantah	null	<p>Amrantahs are living machines made from highly advanced magitech and imbued with the soul of a long-dead person from Amran. These artificial beings are humanoid in appearance and most often resemble humans made of metal, with bluish energy visible from within their bodies. Amrantahs can easily modify their bodies with access to a ghost forge, and many take full advantage of this fact. Some take on appearances resembling draconic or bestial humanoids, while others adopt a blankfaced, enigmatic appearance. Amrantahs often choose a gender fitting the soul’s identity. These amrantahs shape their bodies to reflect their gender, while others experiment with or reject gendered traits.<br/> All amrantahs emerge from the ghost forges with the default imprint left behind by the machines’ Gap-shattered programming. Originally meant to grant the amrantah a portion of their people’s knowledge, this process instead causes amrantahs to emerge with naive, innocent, and somewhat undeveloped personalities, though each is still influenced by their preimprint personalities. Amrantahs tend toward chaotic good or chaotic neutral alignment as a result, with a whimsical, fun-loving bent. Amrantahs and gnomes get along very well.<br/> Amrantah culture, such as it is, is largely defined by their environment. The pleasure-cities of Amran offer amrantahs an endless array of distractions, and many have short attention spans, though engrossing tasks can hold them rapt for as long as necessary. Even when away from their cities, amrantahs use their internal systems to play games or otherwise entertain themselves while performing other tasks. Accustomed to having their way, amrantahs can become petulant when a desire is denied, though most are too good natured to really make a fuss—another pleasure is around the corner, after all.<br/> Given their origins, amrantahs have a casual relationship with religion. When an amrantah dies, regardless of their distance from a ghost forge, the soul travels back to be reborn. While this offers immortality of a sort, the amrantahs no longer have the mastery of magitech necessary to reprogram the ghost forges. Thus, souls reborn this way are inevitably reimprinted, emerging with a blank mind and personality. Most amrantahs have a healthy respect for death, if not quite the same fear other species possess. Most amrantahs see the process of reincarnation as the doorway to new adventures, so after living a full life, an amrantah sees death as little to fear.<br/> Amrantahs vary from 5 to 7 feet tall, and they weigh from 120 to 350 pounds. The physical components of an amrantah degenerate over time, meaning each individual usually lives a bit more than a century.</p>	+2 CON, +2 CHA, -2 WIS	null	null	null	null	6	Medium	Construct	Magical/Technological	A!03	48
3	Anassanoi	null	<p>Anassanois are native to a distant star, Anassan, which they left in a generation ship named the Kahlannal. For more on anassanoi culture and their city of Kahlannal, see pages 38–45.<br/> The typical anassanoi is staunchly loyal, sympathetic, and effusive with friends. However, by human standards, anassanoi body language and facial expressions lack animation and emotion, despite the fact that an anassnoi has three eyes and two (vertical) mouths. Anassanois are natural telepaths and extremely open when communicating with telepathy, suffusing such exchanges with the feelings their physical gestures lack. This openness translates into emotional honesty, offering others a ready sense of who the speaking anassanoi is. An anassanoi who wants to avoid this openness can learn to suppress it by becoming practiced in deception, but few anassanois do so.<br/> A typical anassanoi stands almost 8 feet tall but is slender, weighing around 200 pounds. They mature at about age 25 and live for around 150 years.</p>	+2 WIS, +2 CHA, -2 CON	null	null	null	null	4	Medium	Humanoid	Anassanoi	DF05	55
4	Androids	null	<p>Androids have no single naming convention. Many take names from the cultures in which they first awoke, or from media they enjoy. Some accept call sign–like names based on appearance, personality, or exploits. Still others go by numbers as a deliberate reminder of their mechanical nature, or a combination of name and number denoting how many times the body their soul inhabits has been renewed. Some sample android names include Asha, Blue-17, Emene-3, Flick, Garro, Iseph, Melody, Naga, Olas, Stringer, Twenty, and Yose.</p>	+2 DEX, +2 INT, -2 CHA	5–7 ft.	100–200 lbs.	0 years	See description	4	Medium	Humanoid	Android	CRB	42
5	Androids	Companion	<p>Androids have no single naming convention. Many take names from the cultures in which they first awoke, or from media they enjoy. Some accept call sign–like names based on appearance, personality, or exploits. Still others go by numbers as a deliberate reminder of their mechanical nature, or a combination of name and number denoting how many times the body their soul inhabits has been renewed. Some sample android names include Asha, Blue-17, Emene-3, Flick, Garro, Iseph, Melody, Naga, Olas, Stringer, Twenty, and Yose.</p>	+2 CHA	5–7 ft.	100–200 lbs.	0 years	See description	4	Medium	Humanoid	Android	COM	16
6	Androids	Laborer	<p>Androids have no single naming convention. Many take names from the cultures in which they first awoke, or from media they enjoy. Some accept call sign–like names based on appearance, personality, or exploits. Still others go by numbers as a deliberate reminder of their mechanical nature, or a combination of name and number denoting how many times the body their soul inhabits has been renewed. Some sample android names include Asha, Blue-17, Emene-3, Flick, Garro, Iseph, Melody, Naga, Olas, Stringer, Twenty, and Yose.</p>	+2 STR, +2 CON, -2 CHA	5–7 ft.	100–200 lbs.	0 years	See description	4	Medium	Humanoid	Android	COM	16
7	Astrazoans	null	<p>The shapeshifting astrazoans have lived as humans, lashuntas, verthani and many other races for the past few centuries, but their origins are shrouded in mystery. As even they have no records of their beginnings, it is widely assumed they came into being at some point during the Gap. They have little in the way of their own culture and strive to find their place in the galaxy.<br/> An astrazoan in their native form resembles a seven-limbed, human-sized starfish, with a single visual sensor in the middle of each limb. Their skeleton is cartilaginous and their flesh jellylike, but an astrazoan can spontaneously mold and introduce pigment into their flesh to imitate the appearance of almost any creature of the same size. Astrazoans are capable of forming both male and female reproductive organs and thus are effectively hermaphrodites. Because most astrazoans live in humanoid societies with defined gender roles, it is common for them to develop a fixed gender identity, but just as many are gender-fluid.<br/> There are very few astrazoans in the Pact Worlds (though no one can be certain of the exact number), and the majority of them reside on Absalom Station, Castrovel, Verces, and other areas where they can blend in with the local populace. They do so not for any sinister reason or even from fear, but out of a desire to make those whom they live among more comfortable. They are aware that their natural form might be a bit off putting to humanoids who primarily interact with only other humanoids.<br/> On a hunch, a team of researchers recently compared the DNA of an astrazoan volunteer to samples from an ancient race known as ilee, who vanished from their home on Apostae during the Gap, and found a remarkable number of similarities. The ilee were known for being unique: no two of them looked alike. These researchers theorize that some of the ilee used highly advanced genetic engineering to completely transform themselves in response to an extinction-level threat; the astrazoans’ innate ability to control their forms is thought to be a side effect of this change, though some believe it was the intended purpose.</p>	+2 DEX, +2 CHA, -2 CON	5–7 ft.	120–160 lbs.	16 years	80+2d20 years	4	Medium	Aberration	Shapeshifter	PWD	209
8	Bantrids	null	<p>Until recently, the small Liavaran shepherd moon named Hibb was believed to be uninhabited. With rolling hills covered in stubby grasslike protrusions and very few bodies of water, Hibb held little of interest for explorers. The moon’s lack of natural resources and the pervasive stench that issued from the ground, which no manner of filtration could suppress, further contributed to Hibb not being colonized by the barathus—or anyone else in the Pact Worlds, for that matter.<br/> However, less than 5 years ago, previously unnoticed machinery under Hibb’s surface began to stir. All across the moon, apertures opened in the ground, from which rose tall towers with spiraling ramps. Heretofore unknown creatures emerged from these towers, their small visual sensors adjusting to the light of the distant sun. The members of this sentient species, who call themselves bantrids, had slumbered in stasis for eons before their ancient computers woke them. Because of the Gap and faulty data-storage drives, however, the bantrids had no knowledge of the solar system’s current political climate and no recollection of why their people entered stasis in the first place. Some believe they were hiding from an imminent threat or natural disaster, while others posit that bantrids were the first sentient species in the system and that they put themselves to sleep to wait for others to interact with.<br/> Bantrids have unusual anatomy. Their lower halves are nothing more than dense organic spheres. Bantrids move by spinning these foot-orbs using hundreds of thousands of cilia on the underside of partial sheaths that cover the orbs. Their upper torsos are stout columns that taper slightly at the top. Bantrids have no heads in the fashion most humanoids do. Instead, their visual and auditory sensors are located in the middle of their torsos, directly under small mouths containing a few teeth made only for chewing fruits and nuts. Bantrids have no noses and, in fact, no sense of smell at all. Near the apex of their torsos, bantrids have a pair of appendages that resemble large, flat hands with several thin fingers. Bantrids’ skin often bears striped coloration along the length of their torsos and across their upper limbs.<br/> Most bantrids are curious about the “new” galaxy they now find themselves in and are eager to learn about all the other sentient species that inhabit it. This leads them to rush (sometimes literally) into situations before fully understanding them. Some of their Pact Worlds neighbors find this trait endearing and happily bring bantrids into their businesses or starship crews, while a few others are put off by their appearance. Bantrids don’t hesitate to write off those who don’t accept them, and they easily move on to new opportunities.<br/> Bantrid culture revolves around motion, from their ramped tower-dwellings to their treadmill-chairs. A bantrid who isn’t moving starts to feel an overwhelming dread akin to claustrophobia. If this lasts too long, the bantrid will simply leave wherever they are at the moment, despite the social consequences. A restrained bantrid will keen wildly and hyperventilate, usually passing out.<br/> Bantrids have no gender and reproduce via a form of budding that creates tiny bantrids whose foot-orbs are not yet sufficiently developed to allow locomotion. These offspring must be carefully watched over until they can move on their own, which takes about 5 months.</p>	+2 DEX, +2 CON, -2 INT	3–4 ft.	70–100 lbs.	8 years	70+2d20 years	4	Small	Aberration	null	PWD	210
9	Barathu, early stage	null	<p>Barathus are the sentient apex of Bretheda’s gas-giant ecosystem, blimp-like creatures vaguely reminiscent of jellyfish, with several unusual evolutionary adaptations. The first is their ability to rewrite their own genetic code instinctively and at will, adjusting their own biology to allow them to manufacture a huge array of substances—and even advanced biotechnology—within the crucibles of their own bodies. Yet while this ability makes them quite successful in the Pact Worlds economy, and has deeply influenced their culture’s understanding of wealth and trade, their more notable adaptation is the ability to combine with others of their kind into larger, hive-minded super-entities. These mergings create not merely amalgams of their component beings, but entirely new entities with unique and independent consciousnesses, yet which in turn often disband back into their component individuals after a particular need or threat has passed.<br/> Barathu culture tends to be easygoing but hard for some other races to understand, as the barathus’ frequent merging makes the concept of “self” somewhat nebulous to them. Young barathus who grow up surrounded by humanoids are an exception, as they are better able to appreciate the mindsets of creatures who exist in static, solitary configurations. Compared to older barathus, early stage barathus are more adventurous and individualistic, and their adaptation to the humanoid mindset makes it more difficult for them to merge completely with others of their kind. Most of these early stage barathus grow out of this phase, gaining the ability to fully integrate with others, yet recent generations have seen more and more barathus deliberately clinging to their juvenile mindsets. While plenty of barathus remain discrete entities for most of their lives, barathus nearing the ends of their lives often merge with massive, permanent combinatory entities that serve as corporations, governments, or cultural repositories.</p>	+2 CON, +2 WIS, -2 DEX	4–6 ft.	150–250 lbs.	30 years	500+3d% years	6	Medium	Aberration	null	AA1	21
10	Bear, uplifted	null	<p>Uplifted animals are nonsapient creatures modified to increase their cognitive ability to full self-awareness, and sometimes also to make their physical forms better able to manipulate tools. Uplifted bears are among the most common uplifted animals, although who uplifted them and how are details lost to the Gap.<br/> Uplifted bears have modified bodies that give them nimble hands with opposable thumbs. They retain a normal bear’s bulk and power, with claws that can rip through modern armor. Alongside their brute strength, uplifted bears have a keen intellect and the ability to communicate via telepathy, which most choose to do rather than vocalize gruffly from what is still a bear’s muzzle. An uplifted bear can be 5 feet tall at the shoulder when on all fours but tower up to 10 feet when moving bipedally. An adult bear weighs 1,200 pounds. These modifications and traits are genetic and can be passed down by mating pairs of uplifted bears.<br/> Many uplifted bears find success in scientific endeavors, but they are most comfortable when they can be outside regularly in a natural, vegetated environment. Though this characteristic is not universal, it has led to uplifted bears gaining a reputation as poor crew members in orbital stations and long-haul expeditions. Others also assume the bears are best suited for exploring habitable worlds and cataloging flora and fauna.<br/> Uplifted bears are sometimes rumored to have violent temperaments, but their personalities are as varied as those of any sapient species. Some uplifted bears take great pleasure in playing to this stereotype when they meet other people, drawing out the biased assumptions of the ill-informed, and then mocking them. Conversely, giving truth to the generality, a number of organized crime kingpins are uplifted bears who find they can threaten with their bulk when they can’t convince with their wits.<br/> Small communities of uplifted bears can be found in the Pact Worlds, especially on higher-gravity planetoids in the Diaspora. Members of such settlements attempt to uncover their traditions by studying any pre- Gap relics they can find and to establish new traditions by building stable societies. Many young uplifted bears become frustrated with this focus on the past, however, and some leave their homes to escape it.<br/> Uplifted bears feel a kinship for animals and animal-like humanoids, often preferring their company. They relate well to shirrens, though uplifted bears are more reserved than the enthusiastic insectile species. Much as many shirrens fear the Swarm and its potential to reassimilate them, some uplifted bears fear that whoever created them might return and put a dark spin on the gift of sapience the bears were given.<br/> An uplifted bear exploration team exploring the Vast recently discovered a planet in the Ferra system full of skyscraper-sized trees and unpopulated by sentient creatures. Since this report, a small but vocal contingent of uplifted bears has begun calling for their kind to claim the planet as their home world.</p>	+2 STR, +2 INT, -2 WIS	9–11 ft.	1,000–1,500 lbs.	7 years	60+1d20 years	6	Large	Magical Beast	null	AA2	17
