name	description	level	price	damage	critical	bulk	special	source	source_page
Apocalypse crystal, shard	<p>Regions ravaged by a living apocalypse’s radioactivity sometimes develop a form of natural solarian weapon crystal known as an apocalypse crystal. While no one is foolish enough to oppose a living apocalypse to search its environs for these crystals, when a living apocalypse moves away from a devastated area it dwelt in for a long period, there is often a “crystal rush.” Representatives of solarian academies and other prospectors in environmental suits risk exposure to lingering radiation in hopes of finding any apocalypse crystals before anyone else—and before the malevolent nuclear ooze returns.<br/> An apocalypse crystal causes the damage dealt by your solarian weapon to function as a force effect. On a critical hit, your target’s molecules begin to lose cohesion, inflicting terrible damage.</p>	1	150	+1	Corrode 1d4	null	null	AA2	81
Electron crystal, shard	<p>While in use, an electron crystal causes a solar weapon to crackle with electricity and dance with magnetic distortions. The user can control these distortions to dull a blow to the target, which many solarians consider to be a useful feature for incapacitating foes. An electron crystal polarizes the energy of a solar weapon, adding electricity damage and allowing you to convert all damage dealt to nonlethal. These crystals are available in shard, least, minor, lesser, standard, greater, and true versions.</p>	1	280	+1 E	null	null	Stun	ARM	49
Photino crystal, shard	<p>In their travels, solar wisps sometimes shed portions of themselves, which cool rapidly into a glittering stream of beautiful bright-orange jewels called photino crystals that are used throughout the Pact Worlds (and beyond) as naturally occurring solarian weapon crystals. A few small starship crews make a dangerous living by following wisps— at a great distance—and waiting for this molting, scooping up the resulting jewels until their cargo holds are full, and then returning to a safer location to sort them by quality. Despite the danger inherent in collecting the gems, these solarian weapon crystals are widely available, especially in the sun’s Burning Archipelago in the Pact Worlds; aboard the kasathan worldship the Idari; and in Fullbright, Verces’s scorched, sun-facing hemisphere.</p>	1	110	+1 F	null	null	null	AA2	117
Photon crystal, shard	<p>Photon crystals add compressed photonic energy to a weapon strike, adding fire damage and the potential to burn the target.</p>	1	145	+1 F	Burn 1d4	null	null	ARM	49
Tauon crystal, least	<p>A tauon crystal helps a solarian overwhelm the senses of foes with intense flashes of light and electricity. When this crystal is set to stun, the damage dealt by the solar weapon is nonlethal.</p>	1	235	+1 E	Staggered	null	Stun	PWD	194
W-boson crystal, shard	<p>W-boson crystals amplify the sheer amount of damage a weapon deals.</p>	1	215	+1	Bleed 1d4	null	null	ARM	49
Z-boson crystal, shard	<p>This specialized weapon crystal causes a solar weapon to twist energy, momentum, and even stranger forces around it. A weapon enhanced with a z-boson crystal deals increased damage and can sometimes give a target unexpected momentum, hurling it backward. Z-boson crystals are fairly esoteric and can be found in shard, least, minor, lesser, standard, greater, and true versions. </p>	1	115	+1	Push (5 ft.)	null	null	ARM	49
Gluon crystal, shard	<p>Gluon crystals create an entropic field along the weapon that creates traumatic wounds.</p>	2	770	+1	Wound	null	null	ARM	49
Muon crystal, least	<p>Theoretically kin to the electron crystal, a muon crystal turns its user’s solar weapon into a wispy glow in shimmering colors, closer to the auroras certain worlds experience than the unadulterated light of a star. This diffuse weapon slides easily through most matter, making it easier to tear through living creatures and inanimate objects alike. Muon crystals are available in least, minor, lesser, standard, and greater varieties.</p>	2	760	+1	null	null	Penetrating	ARM	49
T-quark crystal, least	<p>T-quark crystals have a rapid rate of decay that a solarian can manipulate a limited number of times per day to charge his solar weapon for a more powerful strike. When the t-quark crystal is active, the solar weapon is surrounded by a chaotic storm of particles, the spiraling results of the crystal’s decay. T-quark crystals are available in least, minor, lesser, standard, greater, and true varieties.</p>	2	750	+1	null	null	Variant boost 1d3 (2/day)	ARM	49
Electron crystal, least	<p>While in use, an electron crystal causes a solar weapon to crackle with electricity and dance with magnetic distortions. The user can control these distortions to dull a blow to the target, which many solarians consider to be a useful feature for incapacitating foes. An electron crystal polarizes the energy of a solar weapon, adding electricity damage and allowing you to convert all damage dealt to nonlethal. These crystals are available in shard, least, minor, lesser, standard, greater, and true versions.</p>	3	1430	+1d2 E	null	null	Stun	ARM	49
Positron crystal, least	<p>A positron crystal’s interactions with matter release both heat and radiation, causing a solar weapon it enhances to roar with flame as it strikes enemies. This adds fire damage to the weapon’s strikes and adds the irradiate critical hit effect to critical hits scored with the weapon. Unlike many radioactive weapons, a solar weapon enhanced by a positron crystal does not pose any particular risk to its user, although the reason behind this remains unknown. Research into precisely how to preserve these crystals is ongoing; currently only least, minor, and lesser versions remain stable for more than a few seconds, though these are quite powerful.</p>	3	1310	+1d2 F	Irradiate	null	null	ARM	49
Muon crystal, minor	<p>Theoretically kin to the electron crystal, a muon crystal turns its user’s solar weapon into a wispy glow in shimmering colors, closer to the auroras certain worlds experience than the unadulterated light of a star. This diffuse weapon slides easily through most matter, making it easier to tear through living creatures and inanimate objects alike. Muon crystals are available in least, minor, lesser, standard, and greater varieties.</p>	4	2200	+1d2	null	null	Penetrating	ARM	49
Photino crystal, least	<p>In their travels, solar wisps sometimes shed portions of themselves, which cool rapidly into a glittering stream of beautiful bright-orange jewels called photino crystals that are used throughout the Pact Worlds (and beyond) as naturally occurring solarian weapon crystals. A few small starship crews make a dangerous living by following wisps— at a great distance—and waiting for this molting, scooping up the resulting jewels until their cargo holds are full, and then returning to a safer location to sort them by quality. Despite the danger inherent in collecting the gems, these solarian weapon crystals are widely available, especially in the sun’s Burning Archipelago in the Pact Worlds; aboard the kasathan worldship the Idari; and in Fullbright, Verces’s scorched, sun-facing hemisphere.</p>	4	1850	+1d2 F	Burn 1	null	null	AA2	117
Tauon crystal, minor	<p>A tauon crystal helps a solarian overwhelm the senses of foes with intense flashes of light and electricity. When this crystal is set to stun, the damage dealt by the solar weapon is nonlethal.</p>	4	1850	+1d3 E	Staggered	null	Stun	PWD	194
Z-boson crystal, least	<p>This specialized weapon crystal causes a solar weapon to twist energy, momentum, and even stranger forces around it. A weapon enhanced with a z-boson crystal deals increased damage and can sometimes give a target unexpected momentum, hurling it backward. Z-boson crystals are fairly esoteric and can be found in shard, least, minor, lesser, standard, greater, and true versions. </p>	4	1950	+1d2	Push (5 ft.)	null	null	ARM	49
Apocalypse crystal, least	<p>Regions ravaged by a living apocalypse’s radioactivity sometimes develop a form of natural solarian weapon crystal known as an apocalypse crystal. While no one is foolish enough to oppose a living apocalypse to search its environs for these crystals, when a living apocalypse moves away from a devastated area it dwelt in for a long period, there is often a “crystal rush.” Representatives of solarian academies and other prospectors in environmental suits risk exposure to lingering radiation in hopes of finding any apocalypse crystals before anyone else—and before the malevolent nuclear ooze returns.<br/> An apocalypse crystal causes the damage dealt by your solarian weapon to function as a force effect. On a critical hit, your target’s molecules begin to lose cohesion, inflicting terrible damage.</p>	5	3050	+1d4	Corrode 1d6	null	null	AA2	81
Graviton crystal, least	<p>Graviton crystals accelerate the impact of a weapon, dealing extra damage and potentially knocking down targets.</p>	5	2900	+1d3	Knockdown	null	null	CRB	186
Photon crystal, least	<p>Photon crystals add compressed photonic energy to a weapon strike, adding fire damage and the potential to burn the target.</p>	5	2950	+1d3 F	Burn 1d6	null	null	CRB	186
T-quark crystal, minor	<p>T-quark crystals have a rapid rate of decay that a solarian can manipulate a limited number of times per day to charge his solar weapon for a more powerful strike. When the t-quark crystal is active, the solar weapon is surrounded by a chaotic storm of particles, the spiraling results of the crystal’s decay. T-quark crystals are available in least, minor, lesser, standard, greater, and true varieties.</p>	5	3000	+1d3	null	null	Variant boost 1d4 (3/day)	ARM	49
W-boson crystal, least	<p>W-boson crystals amplify the sheer amount of damage a weapon deals.</p>	5	3050	+1d4	Bleed 1d6	null	null	CRB	186
Electron crystal, minor	<p>While in use, an electron crystal causes a solar weapon to crackle with electricity and dance with magnetic distortions. The user can control these distortions to dull a blow to the target, which many solarians consider to be a useful feature for incapacitating foes. An electron crystal polarizes the energy of a solar weapon, adding electricity damage and allowing you to convert all damage dealt to nonlethal. These crystals are available in shard, least, minor, lesser, standard, greater, and true versions.</p>	6	3850	+1d4 E	null	null	Stun	ARM	49
Gluon crystal, least	<p>Gluon crystals create an entropic field along the weapon that creates traumatic wounds.</p>	6	3900	+1d4	Wound	null	null	CRB	186
Photino crystal, minor	<p>In their travels, solar wisps sometimes shed portions of themselves, which cool rapidly into a glittering stream of beautiful bright-orange jewels called photino crystals that are used throughout the Pact Worlds (and beyond) as naturally occurring solarian weapon crystals. A few small starship crews make a dangerous living by following wisps— at a great distance—and waiting for this molting, scooping up the resulting jewels until their cargo holds are full, and then returning to a safer location to sort them by quality. Despite the danger inherent in collecting the gems, these solarian weapon crystals are widely available, especially in the sun’s Burning Archipelago in the Pact Worlds; aboard the kasathan worldship the Idari; and in Fullbright, Verces’s scorched, sun-facing hemisphere.</p>	7	5500	+1d4 F	Burn 1d4	null	null	AA2	117
T-quark crystal, lesser	<p>T-quark crystals have a rapid rate of decay that a solarian can manipulate a limited number of times per day to charge his solar weapon for a more powerful strike. When the t-quark crystal is active, the solar weapon is surrounded by a chaotic storm of particles, the spiraling results of the crystal’s decay. T-quark crystals are available in least, minor, lesser, standard, greater, and true varieties.</p>	7	6950	+1d4	null	null	Variant boost 2d4 (3/day)	ARM	49
Tauon crystal, lesser	<p>A tauon crystal helps a solarian overwhelm the senses of foes with intense flashes of light and electricity. When this crystal is set to stun, the damage dealt by the solar weapon is nonlethal.</p>	7	6000	+1d4 E	Staggered	null	Stun	PWD	194
Z-boson crystal, minor	<p>This specialized weapon crystal causes a solar weapon to twist energy, momentum, and even stranger forces around it. A weapon enhanced with a z-boson crystal deals increased damage and can sometimes give a target unexpected momentum, hurling it backward. Z-boson crystals are fairly esoteric and can be found in shard, least, minor, lesser, standard, greater, and true versions. </p>	7	7000	+1d4	Push (10 ft.)	null	null	ARM	49
Apocalypse crystal, minor	<p>Regions ravaged by a living apocalypse’s radioactivity sometimes develop a form of natural solarian weapon crystal known as an apocalypse crystal. While no one is foolish enough to oppose a living apocalypse to search its environs for these crystals, when a living apocalypse moves away from a devastated area it dwelt in for a long period, there is often a “crystal rush.” Representatives of solarian academies and other prospectors in environmental suits risk exposure to lingering radiation in hopes of finding any apocalypse crystals before anyone else—and before the malevolent nuclear ooze returns.<br/> An apocalypse crystal causes the damage dealt by your solarian weapon to function as a force effect. On a critical hit, your target’s molecules begin to lose cohesion, inflicting terrible damage.</p>	8	9500	+1d6	Corrode 1d6	null	null	AA2	81
Graviton crystal, minor	<p>Graviton crystals accelerate the impact of a weapon, dealing extra damage and potentially knocking down targets.</p>	8	9200	+1d6	Knockdown	null	null	CRB	186
Photon crystal, minor	<p>Photon crystals add compressed photonic energy to a weapon strike, adding fire damage and the potential to burn the target.</p>	8	9300	+1d6 F	Burn 1d6	null	null	CRB	186
W-boson crystal, minor	<p>W-boson crystals amplify the sheer amount of damage a weapon deals.</p>	8	9800	+1d6	Bleed 2d6	null	null	CRB	186
