id	name	description	long_description	mystic_level	technomancer_level	witchwarper_level	school	casting_time	effect	area	effect_ranges_id	targets	duration	saving_throw	spell_resistance	source	source_page
1	Acid Rain	<p>A storm deals 3d6 damage for 1 round per level, imposes a 50% miss chance, and staggers enemies at its end.</p>	<p>You pull a downpour of elemental precipitation from an alternate reality. You then direct this acid rain to pour only onto your enemies, dealing them 3d6 acid damage each round. The acid splashes into and burns your foes&rsquo; eyes, coats them in slime, and clouds their other senses. Enemies must attempt a Fortitude save when exposed to the spell. On a failure, the creature has a 50% miss chance for its attacks while in the area. The rain causes spellcasters who fail the save to have a 20% chance of losing any spell they attempt to cast from within the area. When this spell ends, a thunderclap causes enemies still in the area who failed their Fortitude saves to be staggered for 1 round.<br />As a standard action, you can change the rain, causing it to deal a different type of energy damage, such as fiery sparks that deal fire damage or shards of ice that deal cold damage. This change in damage types leaves secondary effects unchanged. When the spell ends, the rain leaves no aftereffects.</p>	null	null	5	evocation	1 standard action	null	cylinder (20-ft. radius, 40 ft. high)	5	null	1 round/level (D)	Fortitude partial (see text)	no	COM	133
2	Acidic Mist	<p>Conjure a cloud of acid that deals 2d6 damage.</p>	<p>You call forth the corrosive atmosphere of a gas giant to damage your opponents. A creature that starts its turn in the area takes 2d6 acid damage. The corrosive mist does not obscure vision.</p>	1	null	1	conjuration (acid)	1 standard action	null	10-ft.-radius spread	3	null	1 round/level (D)	Fortitude half	no	NSP	154
3	Akashic Download	<p>You do a cosmic search of the Akashic Record for information about a topic.</p>	<p>You do a cosmic search of the Akashic Record for information about a topic. Your tier 0 or better computer (such as a comm unit) instantly compiles snippets and selections from various media relevant to the subject. The information remains for 2 minutes, during which you explore it. Once you&rsquo;re finished, you can attempt one skill check to recall knowledge on the topic with a +4 divine bonus, and you can do so untrained if the DC is 20 or lower. On a failed skill check, the GM can select some small insight into the topic that you retain. All the information you downloaded from this spell then disappears back to the Akashic Record. Using this spell doesn&rsquo;t prevent you from doing further research using a downloaded data set or library chip, but perusing this magical download can&rsquo;t be done concurrently with such study.</p>	1	1	1	divination	1 round	null	null	1	null	2 minutes (see text)	null	null	A!05	50
4	Akashic Revival	<p>You create perfect documentation of your physical body in the Akashic Record at the time the spell is cast, allowing you to later recall this record and reconstruct your body as it was when you cast this spell.</p>	<p>You create perfect documentation of your physical body in the Akashic Record at the time the spell is cast, allowing you to later recall this record and reconstruct your body as it was when you cast this spell. The record of your body includes your current Stamina Points, Hit Points, augmentations, physical ability scores, and any enduring negative physical states (including ability damage or drain to physical ability scores, disease, negative levels, poison, and so on). Any effect that was affecting you when you cast this spell to store your record continues with its normal duration, so that effect might expire between the time you store your record and when you later recall it.</p><p>To recall your record, either you must die due to events other than old age or, if you are at 0 Hit Points, you can instead allow your body to perish by spending 3 Resolve Points. If either of these things occurs, you can claim your record as your new physical body at the start of your next turn. Your corpse disappears. Then, you instantly reappear, standing in your recorded body in the corpse&rsquo;s space and wearing your gear. If you cannot appear in that space, you appear as close to it as you can. You retain your mind as it was at the time of your body&rsquo;s death, so you regain no expended spells, Resolve Points, or uses of special abilities. Any mental effects affecting you or mental ability damage present at the time of your death persist in your new body.</p><p>Casting this spell again replaces any previous record of yourself with a new one&mdash;you can store only one copy of yourself in the Akashic Record.</p>	6	null	6	necromancy	1 hour	null	null	1	null	24 hours	null	null	A!05	50
5	Alter Corpse	<p>You cause a corpse to change to suit a narrative you choose.</p>	<p>You cause a corpse to change to suit a narrative you choose. This spell can hide or create clues about how the corpse ended up in its current state, from closing wounds to evaporating chemicals in the cadaver&rsquo;s system. However, the changes cannot be major, such as removing or restoring a limb, or stripping flesh from the skeleton. The spell is also unable to change the corpse&rsquo;s identity.<br />Anyone who examines the corpse can attempt a Perception check (DC = 10 + your caster level) to notice that the corpse&rsquo;s condition (or lack thereof) seems manipulated, but success doesn&rsquo;t allow the observer to determine what the corpse looked like before this spell was cast. Closely examining the corpse with a successful Medicine check (DC = 15 + your caster level) not only reveals what a successful Perception check does, but also reveals what the corpse looked like before this spell was cast.</p>	2	null	2	necromancy	1 standard action	null	null	2	one corpse	instantaneous	none	no	3C01	45
6	Animate Armor	<p>Briefly control a suit of armor</p>	<p>You temporarily infuse a suit of armor with a magic force that allows it to move on its own and that directs its mechanisms. When you cast this spell, the armor acts and responds to your mental control for as long as you concentrate. Each round on your turn, the armor can perform either a move action or a standard action to attack. The armor can move up to 30 feet (or its listed speed using any of its available modes of movement, if powered armor or containing an armor upgrade that alters movement). When the armor attacks, it can either make an unarmed attack, dealing 4d8 + your caster level bludgeoning damage (or the listed damage plus its Strength modifier, for powered armor) or make an attack with any of the weapons mounted in its weapon slots or weapons with the integrated special property installed in its upgrade slots (if any); this deals the weapon&rsquo;s base damage for ranged attacks and the weapon&rsquo;s base damage plus the armor&rsquo;s Strength modifier for melee attacks. The armor has a bonus to attacks equal to 6 + your caster level. If the armor has no listed Strength score, it can apply a Strength bonus equal to your caster level.</p><p>Should the animated armor be attacked, its EAC and KAC are equal to 10 + the EAC and KAC bonus the armor provides. It uses your saving throw bonuses when it is the target of spells and other targeted effects, and it has the typical hardness and Hit Points for an item of its level. For the purpose of spells and effects that target the armor, it is treated as a construct with the technological and magical subtypes while the spell lasts.</p><p>This spell has no effect if cast on powered armor with a depleted battery or powered armor of an item level that exceeds your caster level.</p>	null	5	null	transmutation	1 round	null	null	2	one unattended suit of armor	concentration, up to 1 round/level	none	no	ARM	156
7	Animate Dead	<p>Create controlled undead creatures out of target corpses.</p>	<p>This spell turns corpses into undead creatures that obey your spoken commands. The undead can be made to follow you, or they can be made to remain in place and attack any creature (or a specific kind of creature) entering the area. They remain animated until they are destroyed. A destroyed undead can&rsquo;t be animated again.</p><p>You can create one or more undead creatures with a total CR of no more than half your caster level. You can only create one type of undead with each casting of this spell. Creating undead requires special materials worth 1,000 credits &times; the total CR of the undead created; these materials are consumed as part of casting the spell.</p><p>The undead you create remain under your control indefinitely. No matter how many times you use this spell, however, you can control only a number of undead whose total CR is no greater than your caster level. If you exceed this number, all the newly created creatures fall under your control and any excess undead from previous castings become uncontrolled. You choose which creatures are released. Once released, such undead have no particular feelings of loyalty to you, and in time they may grow in power beyond the undead you can create.</p><p>The corpses you use must be as intact as the typical undead of the type you choose to create. For example, a skeleton can be created only from a mostly intact corpse (that has bones) or skeleton. A zombie can be created only from a creature with a physical anatomy.</p>	4	4	null	necromancy	1 standard action	null	null	2	one or more corpses	instantaneous	none	no	CRB	340
8	Antiradiation	<p>Calm an area of radiation, the strength of which depends on your caster level.</p>	<p>You permeate radiation with mitigations from other realities, dissipating radiation effects in the spell&rsquo;s area; the radiation level you affect depends on your caster level, as shown on the table below. Once radiation has been dissipated, the environment in the area has no harmful effects from radiation, although this spell does not remove ongoing radiation-creating effects.<br />An&nbsp;<em>antiradiation</em>&nbsp;spell counters an&nbsp;<em>irradiate spell</em>, as long as your caster level is greater than the caster level of the creature or effect that created the&nbsp;<em>irradiate</em>&nbsp;effect.</p><table class="inner ds-table"><tbody><tr><td>CASTER LEVEL</td><td>RADIATION LEVEL</td></tr><tr><td>6th or lower</td><td>Low</td></tr><tr><td>7th&ndash;9th</td><td>Medium</td></tr><tr><td>10th&ndash;16th</td><td>High</td></tr><tr><td>17th or higher</td><td>Severe</td></tr></tbody></table>	null	null	3	abjuration	1 standard action	null	10-ft.-radius spread; see text	4	null	instantaneous	null	null	COM	133
9	Arcane Eye	<p>Invisible floating eye moves 30 feet per round and sends you visual information.</p>	<p>You create an invisible magical sensor that sends you visual information. The sensor appears at any point within line of sight, but it can then travel beyond your line of sight without hindrance. An arcane eye travels at 30 feet per round (300 feet per minute) if viewing an area ahead as a humanoid would (primarily looking at the floor) or 10 feet per round (100 feet per minute) if examining the ceiling and walls as well as the floor ahead. The arcane eye sees exactly as you would see if you were there.</p><p>The arcane eye can travel in any direction as long as the spell lasts. Solid barriers block its passage, but it can pass through a hole or space as small as 1 inch in diameter. The arcane eye can&rsquo;t enter another plane of existence, even through Drift travel or a magical gate or similar magical portal.</p><p>You must concentrate to use an arcane eye. If you do not concentrate, the sensor is inert until you concentrate again.</p>	null	4	null	divination (scrying)	10 minutes	magical sensor	null	6	null	1 minute/level (D)	none	no	CRB	340
10	Arcane Sight	<p>Magical sources become visible to you.</p>	<p>This spell allows you to see magic sources within 120 feet of you. The effect is similar to that of a detect magic spell, but arcane sight does not require concentration and discerns information more quickly.</p><p>You know the location and caster level of all magic sources within your sight. If the magic sources are in line of sight, you can attempt a DC 28 Mysticism check (one check per source) to determine the school of magic involved in each source.</p><p>If you concentrate on a specific creature within 120 feet of you as a standard action, you can determine whether it has any spellcasting or spell-like abilities and the caster level of the most powerful spell or spell-like ability the creature currently has available for use.</p><p>As with detect magic, you can use this spell to identify the properties of magic items, but not of artifacts.</p>	null	3	null	divination	1 standard action	null	null	1	null	1 minute/level (D)	null	null	CRB	340
