id	name	ability	skill	description	sfs	source	source_page
1	Ace Pilot	DEX	Piloting	<p>Skillful operator of starships and other vehicles who is obsessed with all related knowledge and lore.</p>	Yes	CRB	29
2	Athlete	STR, DEX, or CON	Acrobatics or Athletics	<p>You are a professional competitor and an expert in physical finesse or  brute strength, providing you advantages in battle.</p>	No	COM	9
3	Battle Medic	INT	Medicine	<p>A medic without peer, you work to save lives in the worst imaginable  conditions, all while keeping your cool.</p>	No	A!01	42
4	Biotechnician	INT	Medicine	<p>Evolution can go only so far, by taking flesh crafting in your own hands,  you devise new ways to enhance your natural mind and body.</p>	Yes	PWD	127
5	Bounty Hunter	CON	Survival	<p>Unstoppable tracker who knows how to stay hot on the trail of those who flee.</p>	Yes	CRB	30
6	Bureaucrat	INT, WIS, or CHA	Culture, Life Science, Mysticism, Physical Science, or a Profession	<p>You bring your no-nonsense ability to cut through red tape to bear in surprising ways.</p>	No	NSP	137
7	Career Trooper	CON	Piloting	<p>A veteran of countless battles, your tactics are unmatched on the  battlefield and a boon to your allies.</p>	No	A!01	43
8	Colonist	CON	Survival	<p>Whether a newcomer to the frontier or an grizzled traveler, you always seek new worlds to settle, and wilds to tame through tenacity and wit.</p>	Yes	AT01	45
9	Corporate Agent	CHA	Diplomacy	<p>Corporations are the lifeblood of the modern economy, and employ agents such as yourself to ensure their plans go according to schedule.</p>	Yes	PWD	47
10	Cult Hunter	WIS	Sense Motive	<p>Your life’s work is to ferret out cults and free those who have fallen into their clutches.</p>	No	DF04	45
11	Cultist	CON	Disguise	<p>Hidden in the shadows, some religious forces work to achieve hidden agendas by employing faceless devotees in nearly all levels of society.</p>	Yes	PWD	147
12	Cyberborn	INT	Computers	<p>For those interested in true advancement, transcending ones physical and mental limitations through technology is their key.</p>	Yes	PWD	67
13	Death-Touched	CON	Perception	<p>Through fate or luck, you've escaped death, but its lingering grasp still maintains a hold on you to this day.</p>	Yes	PWD	97
14	Diplomat	CHA	Diplomacy	<p>Quick with words and familiar with negotiations in tense situations, you thrive on defusing situations where violence is only moments away.</p>	No	A!04	45
15	Dragonblood	CHA	Culture	<p>Through inherited power or sheer adoration, the magic of dragons flows through your veins and grants you a measure of their mighty power.</p>	Yes	PWD	107
16	Dream Prophet	WIS	Mysticism	<p>You hear the songs of the Dreamer, and sometimes they grant you insight into the unknown.</p>	Yes	PWD	117
17	Esper	CHA	Mysticism	<p>You have trained with an elite psionic squad or a specialist unit dealing with psychic threats, or served as the psionics officer for a military task</p>	No	A!05	53
18	Giantblood	STR	Culture	<p>You can trace your ancestry to giants, allowing you to accomplish feats of great strength.</p>	No	NSP	138
19	Gladiator	CON	Intimidate	<p>The roars of the crowd and blood dripping from your blade guides your life of violence for coin and prestige.</p>	Yes	PWD	57
20	Grifter	INT	Profession	<p>Swindling, tricking, and ingratiating yourself to others using your force of personality are your specialties.</p>	No	COM	10
21	Guard	STR, or DEX	Perception	<p>You are a vigilant protector of your clients and friends, and you’ll let no harm come to them.</p>	No	COM	11
22	Icon	CHA	Culture	<p>Popular and respected celebrity who can leverage the public's adoration for specific needs.</p>	Yes	CRB	31
