id	name	level	description	price	type	speed	land_speed	hover_speed	fly_speed	swim_speed	climb_speed	burrow_speed	complement	passengers	source	source_page
1	Basic Enercycle	1	null	700	Large land vehicle	22 mph	22	null	null	null	null	null	null	1	CRB	228
2	Battle Chariot	1	<p>Though they rarely see combat on modern battlefields, wheeled chariots still make ceremonial appearances in military parades.</p>	400	Large land vehicle	drawn	0	null	null	null	null	null	null	1	A!06	51
3	Exploration Buggy	1	null	1000	Large land vehicle	40 mph	40	null	null	null	null	null	null	3	CRB	228
4	Goblin Junkcycle	1	<p>Once the junkcycle becomes broken, its engine explodes in 1d4 rounds (even if it’s been wrecked), dealing 3d6 fire damage to anyone riding the vehicle and 1d6 fire damage to anyone within 10 feet (Reflex DC 8 half).</p>	425	Medium land vehicle	28 mph	28	null	null	null	null	null	null	null	CRB	228
5	Torpedo Minisub	1	null	1500	Large water vehicle	22 mph (swim)	null	null	null	28	null	null	null	1	CRB	228
6	Hovertrike	2	<p>A personal comm unit is pocket-sized device that combines a minor portable computer (treat as a tier-0 computer with no upgrades or modules) and a cellular communication device, allowing wireless communication with other comm units in both audio- and text-based formats at planetary range (see page 272).</p>	1850	Large land vehicle	22 mph (hover)	null	22	null	null	null		null	2	AT01	21
7	Motorcycle	2	<p>This two-wheeled, open vehicle is very common on the streets of many urban areas.</p>	1900	Large land vehicle	55 mph	55	null	null	null	null		null	1	ARM	138
8	Urban Cruiser	2	<p>Some vehicles have autocontrol, which enables you to spend your actions on tasks other than piloting, but is far less capable than an autopilot. You can engage autocontrol as a swift action after taking a drive or race action, and it lasts until it is disengaged (also a swift action) or until the vehicle is no longer capable of moving. When you’re using autocontrol, the vehicle becomes uncontrolled, but each round it moves in a straight line for the same distance and at the same heading and speed as the last pilot action (moving as if taking two drive actions if drive was the last action the pilot took, or as a race action if that was the last action the pilot took). The autocontrol uses the result of the pilot’s most recent Piloting check as the result of its Piloting checks.</p>	2210	Large land vehicle	55 mph	55	null	null	null	null		null	3	CRB	228
9	Biped Walker	3	<p>Little more than an open platform atop a pair of legs, this compact walker provides height from which soldiers and police can monitor crowds.</p>	3860	Large land vehicle	40 mph	40	null	null	null	null		null	null	A!06	51
10	Performance Cruiser	3	<p>The performance cruiser is a versatile and responsive hover vehicle often employed by racers.</p>	4320	Large land and air vehicle	90 mph (fly and hover)	null	90	90	null	null	null	null	1	DF02	33
11	Ultralight Turboglider	3	<p>The pilot and passenger hang from minimal harnesses underneath this turbofan-propelled wing, which is steered with dangling hand controls and by leaning.</p>	3170	Large low-altitude air vehicle	40 mph (fly)	null	null	40	null	null	null	null	1	ARM	139
12	War Wagon	3	<p>This archaic boxy wagon’s sturdy sides and numerous embrasures provide a surprisingly effective strongpoint from which determined passengers can defend themselves.</p>	2980	Huge land vehicle	drawn	0	null	null	null	null	null	null	5	A!06	53
13	Police Cruiser	4	<p>Some vehicles have an autopilot AI that can control the vehicle in place of an actual pilot. You can engage or disengage an autopilot as a swift action. You can input a destination into an autopilot as a move action, and the autopilot attempts to reach that location if doing so is possible (provided the autopilot isn’t locked by a passcode or otherwise programmed not to obey).<br/> A vehicle is considered controlled when the autopilot is engaged. An autopilot’s actions are dictated by the GM, and an autopilot can take any of the actions to pilot the vehicle that an actual pilot can. However, autopilots tend to be cautious, rarely risking the integrity of the vehicle and never attempting to ram or run over a target unless specifically programmed as a war machine (indicated in its stat block).<br/> The Systems entry in a vehicle’s statistics lists the autopilot’s modifier to the Piloting skill. For Piloting checks attempted for the Autopilot, apply this modifier first and then apply the vehicle’s modifier (listed in the vehicle’s Modifiers entry) to the Piloting checks.</p>	6195	Large land and air vehicle	75 mph (ground and fly)	75	null	75	null	null	null	null	3	CRB	229
14	Sky Chariot	4	<p>A sky chariot swoops into battle pulled by a pair of large flying beasts. A ventrally mounted antigrav rotor permits the chariot to float weightlessly, while grav emitters in its deck keep occupants firmly on their feet even during sudden maneuvers.</p>	4350	Huge air vehicle	drawn (fly)	null	null	0	null	null	null	null	4	A!06	53
15	Survey Walker	4	<p>Typically used during terraforming missions, this six-legged walker can handle most solid terrains.</p>	4650	Huge land vehicle	40 mph	40	null	null	null	null	null	null	3	ARM	139
16	Acid Auger	5	<p>Able to tunnel through soil and loose rock using jets of acid, this cylindrical, tracked vehicle has portholes and a rear-facing entry hatch.</p>	9400	Large land and tunneling vehicle	40 mph (land), 5 mph (burrow)	40	null	null	null	null	5	null	1	ARM	137
17	Drop Pod	5	<p>Capable of deploying fire teams and supply caches from dizzying heights, drop pods offer a heart-stopping ride from lower orbit to a planet’s surface.</p>	7800	Huge air vehicle	controlled plummet	null	null	0	null	null	nul	null	5	A!06	52
18	Hover Truck	5	<p>The tires of this versatile truck transform into antigrav jets at the touch of a button.</p>	7000	Gargantuan land and water vehicle	50 mph (hover)	null	50	null	null	null	null	null	3	ARM	138
19	All-Terrain Transport	6	<p>Some vehicles have an autopilot AI that can control the vehicle in place of an actual pilot. You can engage or disengage an autopilot as a swift action. You can input a destination into an autopilot as a move action, and the autopilot attempts to reach that location if doing so is possible (provided the autopilot isn’t locked by a passcode or otherwise programmed not to obey).<br/> A vehicle is considered controlled when the autopilot is engaged. An autopilot’s actions are dictated by the GM, and an autopilot can take any of the actions to pilot the vehicle that an actual pilot can. However, autopilots tend to be cautious, rarely risking the integrity of the vehicle and never attempting to ram or run over a target unless specifically programmed as a war machine (indicated in its stat block).<br/> The Systems entry in a vehicle’s statistics lists the autopilot’s modifier to the Piloting skill. For Piloting checks attempted for the Autopilot, apply this modifier first and then apply the vehicle’s modifier (listed in the vehicle’s Modifiers entry) to the Piloting checks.</p>	8370	Huge land vehicle	50 mph	50	null	null	null	null	null	null	7	CRB	229
20	Pump-Jet Sub	6	<p>Some vehicles have an autopilot AI that can control the vehicle in place of an actual pilot. You can engage or disengage an autopilot as a swift action. You can input a destination into an autopilot as a move action, and the autopilot attempts to reach that location if doing so is possible (provided the autopilot isn’t locked by a passcode or otherwise programmed not to obey).<br/> A vehicle is considered controlled when the autopilot is engaged. An autopilot’s actions are dictated by the GM, and an autopilot can take any of the actions to pilot the vehicle that an actual pilot can. However, autopilots tend to be cautious, rarely risking the integrity of the vehicle and never attempting to ram or run over a target unless specifically programmed as a war machine (indicated in its stat block).<br/> The Systems entry in a vehicle’s statistics lists the autopilot’s modifier to the Piloting skill. For Piloting checks attempted for the Autopilot, apply this modifier first and then apply the vehicle’s modifier (listed in the vehicle’s Modifiers entry) to the Piloting checks.</p>	13150	Huge water vehicle	50 mph (swim)	null	null	null	50	null	null	null	7	CRB	229
21	Stealth Enercycle	6	<p>A partially shrouded saddle and advanced stealth technology allow both vehicle and pilot to vanish in the shadows.</p>	13500	Large land vehicle	85 mph	85	null	null	null	null	null	null	null	A!06	53
22	Water Bear	6	<p>Lucky salvagers sometimes find a dead giant space tardigrade that has shrunk to nearly a third of its original size after succumbing to a period of starvation or dehydration so lengthy as to overcome its remarkable durability. Such a carcass can be fashioned into a distinctive submersible vehicle—called a water bear—suitable for extreme underwater environments.</p>	12500	Gargantuan water vehicle	65 mph (swim)	null	null	null	65	null	null	null	8	AA3	41
23	Hover Pod	7	<p>Some vehicles have autocontrol, which enables you to spend your actions on tasks other than piloting, but is far less capable than an autopilot. You can engage autocontrol as a swift action after taking a drive or race action, and it lasts until it is disengaged (also a swift action) or until the vehicle is no longer capable of moving. When you’re using autocontrol, the vehicle becomes uncontrolled, but each round it moves in a straight line for the same distance and at the same heading and speed as the last pilot action (moving as if taking two drive actions if drive was the last action the pilot took, or as a race action if that was the last action the pilot took). The autocontrol uses the result of the pilot’s most recent Piloting check as the result of its Piloting checks.</p>	14850	Large land and water vehicle	65 mph (hover)	null	65	null	null	null	null	null	3	CRB	229
