name	description	level	price	bulk	capacity	usage	weapon_type	source	source_page
Bayonet bracket, heavy	<p>A bayonet bracket allows you to attach a one-handed melee weapon to the bottom rail of a railed weapon or a small arm. The melee weapon cannot have the reach weapon special property. Attaching a melee weapon to a bayonet bracket or removing it is a full action. If the attached melee weapon deals bludgeoning or slashing damage, you take a –2 penalty to attack rolls with it while it’s attached. The type of bayonet bracket determines which weapons you can use together.</p>	1	300	null	0	null	Railed weapon	ARM	58
Bayonet bracket, light	<p>A bayonet bracket allows you to attach a one-handed melee weapon to the bottom rail of a railed weapon or a small arm. The melee weapon cannot have the reach weapon special property. Attaching a melee weapon to a bayonet bracket or removing it is a full action. If the attached melee weapon deals bludgeoning or slashing damage, you take a –2 penalty to attack rolls with it while it’s attached. The type of bayonet bracket determines which weapons you can use together.</p>	1	150	null	0	null	Railed weapon, small arm	ARM	58
Bipod, light	<p>A bipod is a set of sturdy legs attached to a railed weapon’s bottom rail. You can extend or collapse a bipod as a move action. Also as a move action, you can stabilize your weapon by resting an extended bipod on a solid surface or using the bipod as a forward grip. When you fire the stabilized weapon, reduce the total penalty you take for making a full attack and due to range according to the bipod’s type. You can’t benefit from a bipod if your weapon is mounted to a gunner harness (see page 60) or powered armor.</p>	1	350	null	0	null	Railed weapon	ARM	58
Grenadier bracket	<p>A grenadier bracket allows you to attach a modified grenade launcher or missile launcher of 3 bulk or less to the bottom rail of a railed weapon. The modifications reduce the capacity of the grenade launcher or missile launcher by 50%, to a minimum of 1 grenade or missile. These modifications can be made in 1 hour with a DC 15 Engineering check, though it is also possible to buy bracket-ready grenade or missile launchers that have been premodified for the same price as standard grenade and missile launchers. Such a modified grenade or missile launcher can still be fired as a separate weapon, and still uses proficiency in heavy weapons, even if fired from a rail on a longarm or other weapon. Attaching a grenade launcher to a grenadier bracket or removing it is a full action.</p>	1	400	L	0	null	Railed weapon	ARM	59
Rangefinder	<p>A rangefinder pulses a laser at distant targets to determine their distance from you. As a move action, you can activate or deactivate a rangefinder and aim it at a specific target. The rangefinder determines the target’s range from you and its speed, and tells you whether the target is moving away from or toward you.<br/> You can use a rangefinder when it is not attached to or integrated with a weapon, as well. You can combine a rangefinder with a scope or sight (see Scope below or Sight on page 61) by paying the combined price of the accessories. Their benefits stack.</p>	1	325	null	20	1/hour	Railed weapon, small arm	ARM	60
Uniclamp	<p>This all-purpose accessory can hold a single handheld item of up to 1 bulk, such as a fire extinguisher or flashlight, so you can use the item while wielding the weapon. A uniclamp requires as many rails to attach to a piece of equipment as the equipment requires hands to operate. Attaching an item to a uniclamp or removing it is a full action.<br/> Unlike a <i><a href="https://thehiddentruth.info/player/equipment/items/personal?page=Gearclamp">gear clamp</a></i>, which merely places an object in some convenient location (such as on your armor or clamped to a strut), but has no ability to activate or deactivate items clamped to it, a uniclamp runs any necessary controls for the item to the trigger or control mechanism for the weapon it is attached to. This allows you to use the item as if manipulating it with the same number of hands you have on your weapon, while still wielding the weapon. For example if you use a uniclamp to attach a beacon portable light onto a thunderstrike streetsweeper, you can turn the beacon on and off while still keeping two hands on your streetsweeper.<br/> The GM can rule that some items are unsuited for use with a uniclamp, that a uniclamp can be attached to only some weapons, or that a uniclamp designed for particular items doesn't work with anything else.</p>	1	150	null	0	null	Railed weapon	ARM	61
Bipod, heavy	<p>A bipod is a set of sturdy legs attached to a railed weapon’s bottom rail. You can extend or collapse a bipod as a move action. Also as a move action, you can stabilize your weapon by resting an extended bipod on a solid surface or using the bipod as a forward grip. When you fire the stabilized weapon, reduce the total penalty you take for making a full attack and due to range according to the bipod’s type. You can’t benefit from a bipod if your weapon is mounted to a gunner harness (see page 60) or powered armor.</p>	2	700	L	0	null	Railed weapon	ARM	58
Grip, folding	<p>Weapons can be fitted with special grips that provide various advantages. You can combine grips by paying the combined price of the grips, but only if all grips are integrated into a weapon. Their benefits stack. The benefits of a grip depend on its type.</p>	2	600	null	0	null	Small arm	ARM	60
Grip, nanofiber	<p>Weapons can be fitted with special grips that provide various advantages. You can combine grips by paying the combined price of the grips, but only if all grips are integrated into a weapon. Their benefits stack. The benefits of a grip depend on its type.</p>	2	750	null	0	null	Any	ARM	60
Sight, manual	<p>A sight is an improved version of the common targeting sights used by most ranged weapons. It may be a loop with an incorporated reticle, or a series of guidelines with high-visibility pigment on them, or some other simple design aid to aiming your weapon. A sight attaches to a small arm or railed weapon’s top rail. A sight can’t be added to a weapon with a scope (see page 60). As a move action, you can aim through a sight. This can be done as part of the same move action as is required to aim a weapon with the sniper weapon special quality, or as part of a sneak attack where you do not take any movement even if you also aim a sniper weapon as part of that action. Aiming through a sight reduces penalties to attack rolls due to range or bonuses to AC from cover, depending on the sight’s type. The reduction in penalties due to aiming with a sight applies only to the next attack roll you make with the weapon before the end of your next turn.</p>	2	1000	null	0	null	Railed weapon, small arm	ARM	61
