name	description	type	price	source	source_page
Abysium	<p>Abysium, also called feverstone, is a radioactive metal distinguished by its blue-green glow. It is believed to form when asteroids transmute, in part, into abysium in the darkness of space where boundaries between the Material Plane and the Abyss are thin. Abysium can be used as a power source, and it is sometimes used in higher-capacity batteries.<br/> Weapons and ammunition fashioned from abysium emanate low radiation (Core Rulebook 403) in a spherical area equal to the space of the intended wielder—Medium and Small weapons have a radius of 5 feet, Large weapons have a radius of 10 feet, and so on. Weapons and ammunition fashioned from abysium gain the bright weapon special property, as well as a critical hit effect that inflicts the sickened condition; the target can attempt a Fortitude saving throw to negate this poison effect, which otherwise lasts 1d4 rounds. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon’s normal critical hit effect or the sickened effect.<br/> If a melee weapon that has the powered weapon special property is made from abysium, reduce its usage by 1. If the weapon has a usage of 1, increase its usage to up to 2 minutes of operation (rather than the normal 1 minute). This aspect of abysium can be applied to melee weapons that deal only energy damage (though not solarian weapon crystals of any type).</p>	Ammunition (1 piece)	70	ARM	66
Abysium	<p>Abysium, also called feverstone, is a radioactive metal distinguished by its blue-green glow. It is believed to form when asteroids transmute, in part, into abysium in the darkness of space where boundaries between the Material Plane and the Abyss are thin. Abysium can be used as a power source, and it is sometimes used in higher-capacity batteries.<br/> Weapons and ammunition fashioned from abysium emanate low radiation (Core Rulebook 403) in a spherical area equal to the space of the intended wielder—Medium and Small weapons have a radius of 5 feet, Large weapons have a radius of 10 feet, and so on. Weapons and ammunition fashioned from abysium gain the bright weapon special property, as well as a critical hit effect that inflicts the sickened condition; the target can attempt a Fortitude saving throw to negate this poison effect, which otherwise lasts 1d4 rounds. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon’s normal critical hit effect or the sickened effect.<br/> If a melee weapon that has the powered weapon special property is made from abysium, reduce its usage by 1. If the weapon has a usage of 1, increase its usage to up to 2 minutes of operation (rather than the normal 1 minute). This aspect of abysium can be applied to melee weapons that deal only energy damage (though not solarian weapon crystals of any type).</p>	Raw material (1 bulk)	1125	ARM	66
Abysium	<p>Abysium, also called feverstone, is a radioactive metal distinguished by its blue-green glow. It is believed to form when asteroids transmute, in part, into abysium in the darkness of space where boundaries between the Material Plane and the Abyss are thin. Abysium can be used as a power source, and it is sometimes used in higher-capacity batteries.<br/> Weapons and ammunition fashioned from abysium emanate low radiation (Core Rulebook 403) in a spherical area equal to the space of the intended wielder—Medium and Small weapons have a radius of 5 feet, Large weapons have a radius of 10 feet, and so on. Weapons and ammunition fashioned from abysium gain the bright weapon special property, as well as a critical hit effect that inflicts the sickened condition; the target can attempt a Fortitude saving throw to negate this poison effect, which otherwise lasts 1d4 rounds. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon’s normal critical hit effect or the sickened effect.<br/> If a melee weapon that has the powered weapon special property is made from abysium, reduce its usage by 1. If the weapon has a usage of 1, increase its usage to up to 2 minutes of operation (rather than the normal 1 minute). This aspect of abysium can be applied to melee weapons that deal only energy damage (though not solarian weapon crystals of any type).</p>	Weapon	4500	ARM	66
Adamantine Alloy	<p>Adamantine is a starmetal, one of several valuable metals mined from asteroids and planets throughout the universe. Pure adamantine is exceedingly rare and expensive, so weapons using adamantine are always made of an adamantine alloy. Weapons or ammunition fashioned from adamantine alloy overcome the damage reduction of creatures with DR/adamantine, such as many magical constructs, and have a natural ability to ignore hardness when sundering weapons or attacking objects, ignoring hardness less than 30 (see Breaking Objects on page 409). Weapons and ammunition without metal parts can’t be made from adamantine alloy. This metal can be fashioned into threads and incorporated into the composite material of any armor. Wearing such armor provides you with DR 2/—.</p>	Ammunition (1 piece)	50	CRB	191
Adamantine Alloy	<p>Adamantine is a starmetal, one of several valuable metals mined from asteroids and planets throughout the universe. Pure adamantine is exceedingly rare and expensive, so weapons using adamantine are always made of an adamantine alloy. Weapons or ammunition fashioned from adamantine alloy overcome the damage reduction of creatures with DR/adamantine, such as many magical constructs, and have a natural ability to ignore hardness when sundering weapons or attacking objects, ignoring hardness less than 30 (see Breaking Objects on page 409). Weapons and ammunition without metal parts can’t be made from adamantine alloy. This metal can be fashioned into threads and incorporated into the composite material of any armor. Wearing such armor provides you with DR 2/—.</p>	Armor	2500	ARM	66
Adamantine Alloy	<p>Adamantine is a starmetal, one of several valuable metals mined from asteroids and planets throughout the universe. Pure adamantine is exceedingly rare and expensive, so weapons using adamantine are always made of an adamantine alloy. Weapons or ammunition fashioned from adamantine alloy overcome the damage reduction of creatures with DR/adamantine, such as many magical constructs, and have a natural ability to ignore hardness when sundering weapons or attacking objects, ignoring hardness less than 30 (see Breaking Objects on page 409). Weapons and ammunition without metal parts can’t be made from adamantine alloy. This metal can be fashioned into threads and incorporated into the composite material of any armor. Wearing such armor provides you with DR 2/—.</p>	Raw material (1 bulk)	625	ARM	66
Adamantine Alloy	<p>Adamantine is a starmetal, one of several valuable metals mined from asteroids and planets throughout the universe. Pure adamantine is exceedingly rare and expensive, so weapons using adamantine are always made of an adamantine alloy. Weapons or ammunition fashioned from adamantine alloy overcome the damage reduction of creatures with DR/adamantine, such as many magical constructs, and have a natural ability to ignore hardness when sundering weapons or attacking objects, ignoring hardness less than 30 (see Breaking Objects on page 409). Weapons and ammunition without metal parts can’t be made from adamantine alloy. This metal can be fashioned into threads and incorporated into the composite material of any armor. Wearing such armor provides you with DR 2/—.</p>	Weapon	2500	CRB	191
Cold Iron	<p>Cold iron is mined from deep underground and forged at a lower temperature to preserve its delicate properties. Weapons or ammunition fashioned from cold iron overcome the damage reduction of creatures with DR/cold iron, such as demons and fey. Weapons or ammunition without metal parts can’t be made from cold iron.</p>	Ammunition (1 piece)	9	CRB	191
Cold Iron	<p>Cold iron is mined from deep underground and forged at a lower temperature to preserve its delicate properties. Weapons or ammunition fashioned from cold iron overcome the damage reduction of creatures with DR/cold iron, such as demons and fey. Weapons or ammunition without metal parts can’t be made from cold iron.</p>	Raw material (1 bulk)	115	ARM	66
Cold Iron	<p>Cold iron is mined from deep underground and forged at a lower temperature to preserve its delicate properties. Weapons or ammunition fashioned from cold iron overcome the damage reduction of creatures with DR/cold iron, such as demons and fey. Weapons or ammunition without metal parts can’t be made from cold iron.</p>	Weapon	450	CRB	191
