id	name	description	weapon_category_id	level	price	damage	damage_die_count	damage_die_type	damage_type	range	critical	capacity	usage	bulk	special	source	source_page
1	Unarmed Strike	<p>An unarmed strike can be dealt with any limb or appendage. Unarmed strikes deal nonlethal damage, and the damage from an unarmed strike is considered weapon damage for the purposes of effects that give you a bonus to weapon damage rolls.</p>	1	0	0	1d3 B	1	3	B	null	null	null	null	0	Archaic, nonlethal	CRB	190
2	Club	<p>A club is any sort of blunt, oblong instrument with a haft suitable for gripping. Clubs can be made of stone, wood, or similar materials. Metal clubs exist as well, and they are usually hollow to keep them from being too heavy. Some Free Captains refer to clubs as belaying pins, though those archaic items are not required on starships.</p>	1	0	0	1d6 B	1	6	B	null	null	null	null	L	Analog, archaic	CRB	187
3	Baton, Tactical	<p>A baton is a thin, solid metal shaft, usually with a textured rubber grip. A tactical baton can be used to inflict precise bludgeoning blows. An advanced baton, used by elite mercenary and security companies, often has an additional shaft, as well as a weighted end that can be powered to connect with substantially more force than a tactical baton.</p>	1	1	90	1d4 B	1	4	B	null	null	null	null	L	Analog, operative	CRB	184
4	Battleglove, Cestus	<p>Battlegloves are popular, economical choices for mercenaries and guards. These durable nylon-web or para-aramid gloves hold a weighted plate over the wearer’s knuckles. You can hold other objects or weapons in a hand wearing a glove, but you can’t use the glove to make attacks while doing so.</p>	1	1	100	1d4 B	1	4	B	null	null	null	null	L	Analog	CRB	187
5	Handaxe, Basic	<p>A balanced, wedge-shaped blade affixed to a lightweight haft,  a handaxe can be wielded in melee or thrown. The flexibility of  handaxes makes them a favorite of explorers of all types, and the  basic handaxe is a common tool that can be used as a weapon.  A tactical handaxe is made of a stronger, lightweight alloy, while  the sintered handaxe uses a denser ceramic material for added  heft and a much keener edge. An ultrathin handaxe has a blade so  thin it can’t be seen clearly, while the molecular rift handaxe has a  blade narrow enough to slice between molecules. Most handaxes  have blade covers to prevent accidental injury to the wielder.</p>	1	1	90	1d4 S	1	4	S	null	null	null	null	L	Analog, thrown (20 ft.)	ARM	52
6	Knife, Survival	<p>These light blades can be used for both mundane tasks and combat. A typical survival knife has a fixed, single-edged, carbon-steel or ceramic blade and is treated against corrosion. Tactical knives have large, double-edged blades, often with a section of serrated blade near the haft, and they come in both fixed- and folding-blade designs; users may prefer one style or the other, but the two are identical in terms of price, weight, and damage dealt.</p>	1	1	95	1d4 S	1	4	S	null	null	null	null	L	Analog, operative	CRB	185
7	Sword Cane, Tactical	<p>This thin blade comes with a scabbard that makes it resemble a stylish cane. Sword canes are popular on Absalom Station, where similar nonweapon items have some popularity as fashionable affectations. A sword cane can incorporate one of the following at the standard price for that item: 20 feet of retractable cable line, a personal comm unit, or a spotlight. A successful Perception check (DC = 15 + the weapon’s item level) is required to identify a sword cane as a weapon when it is sheathed.</p>	1	1	250	1d4 P	1	4	P	null	Bleed 1d3	null	null	L	Analog, operative	PWD	194
8	Syringe Stick, Standard	<p>This weapon is a lightweight, handheld  auto-injector device designed to  quickly inject drugs, poison, and  similar substance into a creature when  pressed against its body. A syringe stick’s  patented spring-loaded design features  a sturdy needle able to punch through the  toughest armor, chitin, and hide. Despite its  deadliness, it is difficult to discern a syringe stick from a  medicinal auto-injector.</p>	1	1	125	1d3 P	1	3	P	null	null	null	null	L	Conceal, injection, operative	COM	124
9	Bone Cestus, Austere	<p>Centuries ago, some kasathas crafted simple weapons out of crest-eaters’ bony protrusions; these formidable gauntlets were badges of honor for the mightiest kasathan warriors, and modern artisans have recreated that aesthetic in the form of bone cestuses, though now they are usually formed of state-of-the-art resin instead of crest-eater bone. Due to the flecks of minerals embedded within, bone cestuses are often warm to the touch, especially after they have been exposed to natural sunlight. These basic one-handed melee weapons are capable of punching through a foe’s defenses, sometimes puncturing vital organs in the process.</p>	1	2	600	1d6 P	1	6	P	null	Bleed 1d4	null	null	L	Analog	AA1	31
10	Dueling Sword, Tactical	<p>While dueling swords are crafted to be aesthetically pleasing and are often seen as a mark of rank or tradition, many warriors still train with them to deadly effect. The powered blades of both buzzblade and ripper dueling swords bring this danger into the modern era, while the molecular rift sword—though unpowered—uses a field of disrupted molecules along its blade to slice through nearly anything, and must be stored in a magnetic sheath that never actually touches the blade.</p>	1	2	475	1d6 S	1	6	S	null	null	null	null	L	Analog	CRB	187
11	Idaran Force Training Baton	<p>This looks like a normal tactical baton, except it is much  thinner and lighter. The baton has passive nanoengineering  such that swinging it hard enough through any atmosphere  creates an electromagnetic force.<br/>  The damage from this weapon counts as a force effect when  wielded by a character with at least 12 Strength. Note, this  does not mean the weapon deals force damage, only that  it counts as a force effect for overcoming certain defenses  such as incorporeal.</p>	1	2	400	1d4 B	1	4	B	null	null	null	null	L	Operative, powered (capacity 20, usage 1)	SFS1	12
12	Sap, Light	<p>A weapon dating back to antiquity, a sap is shaped like a large,  flat spoon with a heavily weighted end. Archaeological digs have  verified that almost every society develops an analog to the sap.  Modern versions are constructed from high-tech fiber and dense  alloys. Although sap models are referred to as light, medium, and  heavy by users, it’s the rare materials used in various models, and  not their actual weight, that make them progressively better at  bludgeoning victims into unconsciousness.</p>	1	2	450	1d4 B	1	4	B	null	null	null	null	L	Analog, nonlethal, operative	ARM	53
13	Sledge	<p>Similar to the assault hammer (Core Rulebook 189), the sledge  has an exceptionally dense weighted head and a strong haft.  This unbalanced design makes the hammer more difficult to  swing, but its strikes pack a punch.</p>	1	3	1050	1d8 B	1	8	B	null	null	null	null	1	Analog, unwieldy	ARM	54
14	Switchblade, Tactical	<p>This blade looks much like a single-edged survival knife when  opened, but the blade can be folded or collapsed to fit within the  grip, making it easier to conceal. A switch on the knife means  the blade can be folded or extended as a swift action, or as part  of making an attack or full attack. Most weapon manufacturers  that offer daggers also produce switchblades, which are made in  the same models: tactical, ultrathin, zero-edge, and molecular rift.</p>	1	3	1300	1d4 S	1	4	S	null	null	null	null	L	Analog, conceal, operative	ARM	54
15	Dueling Sword, Converted	<p>The dueling swords of the Corpse Fleet are earned based on ascension through the ranks. The reanimated ranks of the converted earn their swords through tallied kill counts, while officers receive their blades as part of the transition to the rank of commander. The blades of Corpse Fleet admirals are some of the keenest weapons in the known galaxy, despite being mostly employed as holdout weapons.</p>	1	4	2100	1d8 S	1	8	S	null	null	null	null	L	Analog	DS03	48
16	Handaxe, Tactical	<p>A balanced, wedge-shaped blade affixed to a lightweight haft,  a handaxe can be wielded in melee or thrown. The flexibility of  handaxes makes them a favorite of explorers of all types, and the  basic handaxe is a common tool that can be used as a weapon.  A tactical handaxe is made of a stronger, lightweight alloy, while  the sintered handaxe uses a denser ceramic material for added  heft and a much keener edge. An ultrathin handaxe has a blade so  thin it can’t be seen clearly, while the molecular rift handaxe has a  blade narrow enough to slice between molecules. Most handaxes  have blade covers to prevent accidental injury to the wielder.</p>	1	4	1825	1d6 S	1	6	S	null	null	null	null	L	Analog, thrown (20 ft.)	ARM	52
17	Inferno Knife	<p>Not all developments in military technology are  successful. Originally designed to be a perfect survival  tool, the inferno knife combines the cutting prowess of  a survival knife with the virtues of a lighter and road  flare. By squeezing one trigger, the user can inject a small  stream of fuel from the hilt’s reservoir onto the blade’s  tip, and a secondary trigger can ignite it, creating a small  torch to signal others or light campfires. The product’s  launch was disastrous, and users logged hundreds of  complaints about the knives’ needless complexity. As  a result, inferno knives have flooded the market and  become showy weapons for criminals and performers,  though timing the blade’s ignition in combat remains an  unpredictable art.<br/>  An inferno knife is a 4th-level basic melee weapon with  the analog and operative special properties. It deals 1d4  slashing damage and has the burn 1d6 critical hit effect.  It costs 2,100 credits and has light bulk. An inferno knife  uses petrol as fuel. It contains enough fuel to remain lit for  1 hour, shedding light in a 20-foot radius. Each successful  critical hit reduces the remaining duration by 5 minutes. A  single charge of petrol refills the weapon’s reservoir.</p>	1	4	2100	1d4 S	1	4	S	null	Burn 1d6	null	null	L	Analog, operative	DS02	12
18	Plasma Kukri, Red Star	<p></p>	1	4	2450	1d4 E & F	1	4	E & F	null	Wound	null	null	L	Operative, powered (capacity 20, usage 1)	SFS1	26
19	Sword Cane, Advanced	<p>This thin blade comes with a scabbard that makes it resemble a stylish cane. Sword canes are popular on Absalom Station, where similar nonweapon items have some popularity as fashionable affectations. A sword cane can incorporate one of the following at the standard price for that item: 20 feet of retractable cable line, a personal comm unit, or a spotlight. A successful Perception check (DC = 15 + the weapon’s item level) is required to identify a sword cane as a weapon when it is sheathed.</p>	1	4	2100	1d4 P	1	4	P	null	Bleed 1d4	null	null	L	Analog, operative	PWD	194
20	Tailblade	<p>Developed by ysoki on Akiton, this slender, lightweight blade  has a series of bands that attach the blade to a tail or similar  anatomy. Although using a tailblade doesn’t allow you to make  additional attacks, it can free up your hands without leaving  you unarmed.</p>	1	4	2300	1d4 S	1	4	S	null	null	null	null	L	Analog, operative, tail	ARM	54
21	Retractable Spike, Tactical	<p>These keen-edged spikes are installed in an armor upgrade  slot rather than held, stored in a surface slot in armor or an  android’s body until extended. You can extend the spike as a  move action and retract the spike as a swift action. Such a spike  usually extends from the elbow, foot, knee, or wrist, but a spike  can be fitted into a helmet or an android’s head for use in headbutting  or goring foes. Retractable spikes are widely available  throughout the Pact Worlds, with the various models—tactical,  advanced, elite, and paragon—having individual rarity based on  the credit outlay to acquire a given model.</p>	1	5	3150	1d4 P	1	4	P	null	null	null	null	L	Conceal, integrated (1 slot), operative	ARM	53
22	Spined Blade, Basic	<p>Kasathas on their home world wielded spined blades to better  poison foes. Replicas of these ancient weapons can be found  in the Museum of Ancestral Technology on the Idari. Modern  warriors use refined versions of the weapon that are effective at  delivering poisons and similar substances through contemporary  armor. You apply such substances to the blade per rules found  on page 232 of the Core Rulebook. While the basic version of  the spined blade is generally analog, more advanced buzzblade,  ripper, gravity, and rivener models are powered weapons.</p>	1	5	2600	1d6 P	1	6	P	null	Injection DC +2	null	null	L	Analog	ARM	54
23	Syringe Stick, Sharp-Pointed	<p>This weapon is a lightweight, handheld  auto-injector device designed to  quickly inject drugs, poison, and  similar substance into a creature when  pressed against its body. A syringe stick’s  patented spring-loaded design features  a sturdy needle able to punch through the  toughest armor, chitin, and hide. Despite its  deadliness, it is difficult to discern a syringe stick from a  medicinal auto-injector.</p>	1	5	2650	1d4 P	1	4	P	null	Injection DC +2	null	null	L	Conceal, injection, operative	COM	124
24	Polyclub, Tactical	<p>Weaponized polyfluid applications are just  beginning to be explored. Polyfluid’s  plasticity has already been applied to  some melee weapons, resulting in the  polymorphic weapon special property.</p>	1	6	4200	1d6 B	1	6	B	null	null	null	null	L	Analog, operative, polymorphic	DF03	44
25	Sap, Medium	<p>A weapon dating back to antiquity, a sap is shaped like a large,  flat spoon with a heavily weighted end. Archaeological digs have  verified that almost every society develops an analog to the sap.  Modern versions are constructed from high-tech fiber and dense  alloys. Although sap models are referred to as light, medium, and  heavy by users, it’s the rare materials used in various models, and  not their actual weight, that make them progressively better at  bludgeoning victims into unconsciousness.</p>	1	6	3900	1d6 B	1	6	B	null	null	null	null	L	Analog, nonlethal, operative	ARM	53
26	Shell Knuckles, Tactical	<p>This bulky glove fits over the user’s hand, with reinforced plates  covering the knuckles. When the weapon connects with a target,  the kinetic force fires scattergun shells into the target and  deal impressive bludgeoning damage. Mercenaries favor these  weapons for fighting at close quarters, and pirates sometimes use  them to make their punches all the more dramatic. Shell knuckles  are available in tactical, advanced, elite, and paragon models.</p>	1	6	4050	3d4 B	3	4	B	null	null	null	null	L	Analog, shells (1, usage 1)	ARM	53
27	Bone Cestus, Measured	<p>Centuries ago, some kasathas crafted simple weapons out of crest-eaters’ bony protrusions; these formidable gauntlets were badges of honor for the mightiest kasathan warriors, and modern artisans have recreated that aesthetic in the form of bone cestuses, though now they are usually formed of state-of-the-art resin instead of crest-eater bone. Due to the flecks of minerals embedded within, bone cestuses are often warm to the touch, especially after they have been exposed to natural sunlight. These basic one-handed melee weapons are capable of punching through a foe’s defenses, sometimes puncturing vital organs in the process.</p>	1	7	5500	2d6 P	2	6	P	null	Bleed 1d6	null	null	L	Analog	AA1	31
28	Hook Knife	<p>Slightly longer than a survival knife, a hook knife features  a wicked barb along the blade’s back edge and deals vicious  wounds to enemies when wielded effectively. The drow  invented the hook knife, but the weapon is a favorite among  cruel mercenaries and other unsavory types.</p>	1	7	6300	1d8 S	1	8	S	null	Bleed 1d6	null	null	L	Analog	ARM	52
29	Knife, Tactical	<p>These light blades can be used for both mundane tasks and combat. A typical survival knife has a fixed, single-edged, carbon-steel or ceramic blade and is treated against corrosion. Tactical knives have large, double-edged blades, often with a section of serrated blade near the haft, and they come in both fixed- and folding-blade designs; users may prefer one style or the other, but the two are identical in terms of price, weight, and damage dealt.</p>	1	7	6000	2d4 S	2	4	S	null	null	null	null	L	Analog, operative	CRB	185
30	Sword Cane, Ultrathin	<p>This thin blade comes with a scabbard that makes it resemble a stylish cane. Sword canes are popular on Absalom Station, where similar nonweapon items have some popularity as fashionable affectations. A sword cane can incorporate one of the following at the standard price for that item: 20 feet of retractable cable line, a personal comm unit, or a spotlight. A successful Perception check (DC = 15 + the weapon’s item level) is required to identify a sword cane as a weapon when it is sheathed.</p>	1	7	7000	2d4 P	2	4	P	null	Bleed 1d4	null	null	L	Analog, operative	PWD	194
